	ph1$kmeans$cluster	check	gene
Cbarp	3	Cbarp	100503659
Clstn3	3	Clstn3	232370
Cntn1	3	Cntn1	12805
Cttnbp2	3	Cttnbp2	30785
Ddah1	3	Ddah1	69219
Ddit4l	3	Ddit4l	73284
Diras2	3	Diras2	68203
Dusp10	3	Dusp10	63953
Dusp3	3	Dusp3	72349
Fabp7	3	Fabp7	12140
Fxyd7	3	Fxyd7	57780
Gm2444	3	NA	100039826
Gng4	3	Gng4	14706
Gxylt1	3	Gxylt1	223827
Hdac9	3	Hdac9	79221
Hmgcr	3	Hmgcr	15357
Insig1	3	Insig1	231070
Jcad	3	Jcad	240185
Jun	3	Jun	16476
Kcnk2	3	Kcnk2	16526
Kcnv1	3	Kcnv1	67498
Ldlr	3	Ldlr	16835
Map3k5	3	Map3k5	26408
Map3k9	3	Map3k9	338372
Mpp3	3	Mpp3	13384
Ntrk2	3	Ntrk2	18212
Parvg	3	Parvg	64099
Pdyn	3	Pdyn	18610
Phf21b	3	Phf21b	271305
Poldip3	3	Poldip3	73826
Ppme1	3	Ppme1	72590
Prickle1	3	Prickle1	106042
R3hdm1	3	R3hdm1	226412
Rab3b	3	Rab3b	69908
Reln	3	Reln	19699
Rgs4	3	Rgs4	19736
Rnd1	3	Rnd1	223881
Rpl29	3	Rpl29	19944
Rpl41	3	Rpl41	67945
Sema3a	3	Sema3a	20346
Sema5a	3	Sema5a	20356
Setbp1	3	Setbp1	240427
Sfxn1	3	Sfxn1	14057
Slc6a13	3	Slc6a13	14412
Slc7a11	3	Slc7a11	26570
Sorcs2	3	Sorcs2	81840
Sox4	3	Sox4	20677
Sst	3	Sst	20604
Stat4	3	Stat4	20849
Syt12	3	Syt12	171180
Taf15	3	Taf15	70439
Trp53bp1	3	Trp53bp1	27223
Zbtb21	3	Zbtb21	114565
Zmynd19	3	Zmynd19	67187
