	ph1$kmeans$cluster	check	gene
Hlf	4	Hlf	217082
Itga11	4	Itga11	319480
Lrrk2	4	Lrrk2	66725
Mapk11	4	Mapk11	19094
Matn2	4	Matn2	17181
Medag	4	Medag	70717
Per3	4	Per3	18628
Pphln1	4	Pphln1	223828
Prkab2	4	Prkab2	108097
Prss35	4	Prss35	244954
Psd3	4	Psd3	234353
Psrc1	4	Psrc1	56742
Sertad3	4	Sertad3	170742
Stc1	4	Stc1	20855
Stum	4	Stum	381310
Tmem114	4	Tmem114	74720
Tub	4	Tub	22141
Vps13a	4	Vps13a	271564
2010300C02Rik	5	2010300C02Rik	72097
Arrdc2	5	Arrdc2	70807
B3gnt2	5	B3gnt2	53625
Ddah1	5	Ddah1	69219
Egln1	5	Egln1	112405
Epha10	5	Epha10	230735
Fam81a	5	Fam81a	76886
Fat3	5	Fat3	270120
Fosl2	5	Fosl2	14284
Fst	5	Fst	14313
Gm11549	5	Gm11549	100503068
Hspb8	5	Hspb8	80888
Ifrd1	5	Ifrd1	15982
Jcad	5	Jcad	240185
Jdp2	5	Jdp2	81703
Kcnk1	5	Kcnk1	16525
Kcnn2	5	Kcnn2	140492
Krt80	5	Krt80	74127
Lsm11	5	Lsm11	72290
Maml3	5	Maml3	433586
Mast2	5	Mast2	17776
Moxd1	5	Moxd1	59012
Myo1e	5	Myo1e	71602
Ncf1	5	Ncf1	17969
Nde1	5	Nde1	67203
Nedd9	5	Nedd9	18003
Nfil3	5	Nfil3	18030
Npas2	5	Npas2	18143
Nptx2	5	Nptx2	53324
Nt5dc2	5	Nt5dc2	70021
Ntrk2	5	Ntrk2	18212
Pdyn	5	Pdyn	18610
Pdzd2	5	Pdzd2	68070
Plat	5	Plat	18791
Prickle1	5	Prickle1	106042
Ptgfrn	5	Ptgfrn	19221
Ptprj	5	Ptprj	19271
Rspo3	5	Rspo3	72780
Scg2	5	Scg2	20254
Sema3a	5	Sema3a	20346
Serpinb8	5	Serpinb8	20725
Shank3	5	Shank3	58234
Sorcs2	5	Sorcs2	81840
Spata2l	5	Spata2l	78779
Stard8	5	Stard8	236920
Syn3	5	Syn3	27204
Syne1	5	Syne1	64009
Tspan11	5	Tspan11	68498
Vip	5	Vip	22353
Wipf3	5	Wipf3	330319
Wnk4	5	Wnk4	69847
