	ph1$kmeans$cluster	check	gene
Gm4524	4	Gm4524	100043571
Hdac7	4	Hdac7	56233
Kcnj9	4	Kcnj9	16524
Mamdc2	4	Mamdc2	71738
Nr1d1	4	Nr1d1	217166
Nr3c2	4	Nr3c2	110784
Olfr287	4	Olfr287	634104
Pou6f1	4	Pou6f1	19009
Rasgrf2	4	Rasgrf2	19418
Rpap3	4	Rpap3	71919
Sema4f	4	Sema4f	20355
Slc22a4	4	Slc22a4	30805
Slc6a15	4	Slc6a15	103098
Susd2	4	Susd2	71733
Tmem106c	4	Tmem106c	380967
Tmem209	4	Tmem209	72649
Tnfrsf8	4	Tnfrsf8	21941
Wscd1	4	Wscd1	216881
Ablim2	5	Ablim2	231148
Aifm3	5	Aifm3	72168
Cfap100	5	Cfap100	243538
Dkk3	5	Dkk3	50781
Dnajc28	5	Dnajc28	246738
Elk1	5	Elk1	13712
Evc2	5	Evc2	68525
Hlf	5	Hlf	217082
Itga11	5	Itga11	319480
Lrrk2	5	Lrrk2	66725
Mapk11	5	Mapk11	19094
Matn2	5	Matn2	17181
Medag	5	Medag	70717
Per3	5	Per3	18628
Pphln1	5	Pphln1	223828
Prkab2	5	Prkab2	108097
Prss35	5	Prss35	244954
Psd3	5	Psd3	234353
Psrc1	5	Psrc1	56742
Sertad3	5	Sertad3	170742
Stc1	5	Stc1	20855
Stum	5	Stum	381310
Tmem114	5	Tmem114	74720
Tub	5	Tub	22141
Vps13a	5	Vps13a	271564
