Affymetrix Probeset ID	Ensembl ID	MGI Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
17444498	ENSMUSG00000059991	Nptx2	0,5646935623	7,8505640615	6,6089215025	2,15121263322385E-08	4,40958254574017E-05	8,9484755177
17443519	ENSMUSG00000037428	Vgf	0,4385613369	9,1483239385	6,5782940581	2,40596594819526E-08	4,64167442370352E-05	8,8465812559
17237767	ENSMUSG00000034613	Ppm1h	0,3057893135	8,9782063538	6,5383822725	2,78364455638684E-08	5,07195502865662E-05	8,7138047733
17316068	ENSMUSG00000022197	Pdzd2	0,3701828689	7,4892544	6,4605451495	0,000000037	6,38455082707877E-05	8,4548994478
17511183	ENSMUSG00000003814	Calr	0,3094409129	11,2790252308	6,32572291	6,0481091152306E-08	9,9179917326109E-05	8,0066817671
17289372	ENSMUSG00000041773	Enc1	0,2197979299	11,5115409231	6,2595965909	0,000000077	0,0001201855	7,7870114909
17370103	ENSMUSG00000026864	Hspa5	0,3868754617	9,5181182154	6,2345804884	8,42924659569103E-08	0,0001256609	7,7039456126
17211375	ENSMUSG00000025931	Paqr8	0,3045762903	8,7731132154	6,1792561202	1,0308704664318E-07	0,0001449933	7,5203244768
17360260	ENSMUSG00000063434	Sorcs3	0,3505437084	9,5104938769	6,1713275505	1,06102382295818E-07	0,0001449933	7,4940197604
17274744	ENSMUSG00000054204	Fam150b	0,5957936749	6,5327829846	6,1451109263	1,16711878341812E-07	0,000153112	7,4070600118
17274249	ENSMUSG00000020571	Pdia6	0,3270465544	9,9469202923	6,1100646354	1,32560692276225E-07	0,0001672151	7,2908618268
17235227	ENSMUSG00000045193	Cirbp	-0,5905249145	7,2039563538	-6,0744234004	1,50874588968177E-07	0,0001825796	7,1727531965
17485855	ENSMUSG00000052296	Ppp6r1	0,2287407481	9,5134458923	6,0654396141	1,55874891847737E-07	0,0001825796	7,142992999
17465341	ENSMUSG00000029701	Rbm28	0,3176552615	8,4201831846	6,0341735992	1,74597132517555E-07	0,0001974573	7,0394539492
17274415	ENSMUSG00000052632	Asap2	0,3475463312	8,5894253538	5,9797091432	2,12701755145282E-07	0,0002325326	6,8592281012
17289137	ENSMUSG00000007617	Homer1	0,4102060622	9,7241077231	5,9028467808	2,80920581223904E-07	0,0002972049	6,6052106222
17302113	ENSMUSG00000022012	Enox1	0,2671098769	8,7226072154	5,8185400438	3,80921011225751E-07	0,0003904083	6,3270821532
17511878	ENSMUSG00000031775	Pllp	-0,3513042643	8,7643702462	-5,7871167725	4,26631485792855E-07	0,0004240071	6,22356153
17332804	ENSMUSG00000023805	Synj2	0,2537443889	8,6141226615	5,7606502468	4,69325002880027E-07	0,0004527192	6,1364357006
17218543	ENSMUSG00000040782	Rfwd2	0,2133303577	9,8940357692	5,7439596885	4,98400741184517E-07	0,0004556953	6,0815234006
17436237	ENSMUSG00000029135	Fosl2	0,525890094	7,5731495231	5,7429593259	5,0019909384175E-07	0,0004556953	6,0782329821
17301718	ENSMUSG00000033730	Egr3	0,6071727619	8,7755221538	5,7324397867	5,19504164754175E-07	0,0004604913	6,0436373625
17245481	ENSMUSG00000025795	Rassf3	-0,4186024819	7,9354588769	-5,7129488931	5,57246415120457E-07	0,0004809476	5,9795646502
17263511	ENSMUSG00000049892	Rasd1	0,638028001	5,6091834308	5,7049346091	5,73542946135872E-07	0,0004823202	5,9532295196
17387485	ENSMUSG00000034075	Zdhhc5	0,1917726393	9,7401712769	5,6905267313	0,000000604	0,0004952655	5,9059003252
17406221	ENSMUSG00000033910	Gucy1a3	-0,2665846861	9,8832234	-5,6450905613	7,11125817156023E-07	0,0005688486	5,7567783736
17274092	NA	NA	-0,769899341	4,5773883692	-5,63233965	7,44423169445342E-07	0,0005813059	5,714967348
17350032	NA	NA	0,5611077491	6,3034131231	5,6158676461	7,89733635436009E-07	0,0006023464	5,6609797603
17292117	ENSMUSG00000051335	Gfod1	0,3240455598	8,6962179077	5,5550080224	9,82123485835679E-07	0,0007179769	5,46176471
17375997	ENSMUSG00000014361	Mertk	0,4019755468	8,9199651538	5,5541568824	9,8511942280255E-07	0,0007179769	5,4589815554
17526707	ENSMUSG00000066687	Zbtb16	0,3414019426	9,0566856923	5,5065309604	0,000001168	0,000832089	5,3033829398
17224730	ENSMUSG00000050711	Scg2	0,3311325824	9,9915756615	5,5007343126	1,19243177748825E-06	0,000832089	5,284463056
17514871	ENSMUSG00000001774	Chordc1	0,2723820666	9,6828984	5,4905284719	1,23668971855905E-06	0,000835143	5,2511617485
17394366	ENSMUSG00000053166	Cdh22	0,2948604159	8,1777208308	5,4827136289	1,27167431186905E-06	0,000835143	5,2256707908
17351952	ENSMUSG00000025425	St8sia5	0,3135289299	10,1580589231	5,4783947191	1,29142698012425E-06	0,000835143	5,211586321
17243738	ENSMUSG00000020048	Hsp90b1	0,2229956663	11,4689487692	5,4768286373	1,29866424191074E-06	0,000835143	5,2064797156
17362240	ENSMUSG00000024966	Stip1	0,2326452356	10,1692933846	5,4626513119	0,000001366	0,0008391715	5,1602648776
17482508	ENSMUSG00000030889	Vwa3a	-0,3497137981	6,1455669077	-5,4569912039	1,39388596955306E-06	0,0008391715	5,1418212717
17508835	ENSMUSG00000039539	Sgcz	-0,401156655	7,9984433538	-5,456777657	1,39494770404662E-06	0,0008391715	5,141125503
17257085	ENSMUSG00000048878	Hexim1	0,2748176125	9,0484238769	5,4543097432	1,40727612521158E-06	0,0008391715	5,1330850798
17257937	ENSMUSG00000041695	Kcnj2	0,5009172833	7,3725759538	5,4377699421	1,49272757855837E-06	0,0008478477	5,0792187477
17437350	NA	NA	0,4535035575	6,8955532308	5,4370540643	1,49653975212184E-06	0,0008478477	5,0768880921
17358905	ENSMUSG00000041180	Hectd2	0,2444447472	8,4336622308	5,4365218767	1,49937998054202E-06	0,0008478477	5,0751555128
17480102	ENSMUSG00000030616	Sytl2	-0,3441881517	9,4225000308	-5,4314369617	1,52678784024603E-06	0,0008487129	5,0586030148
17314260	ENSMUSG00000036273	Lrrk2	0,3080338593	9,2786877538	5,3957986786	1,73328725804234E-06	0,000940455	4,9426880922
17231482	ENSMUSG00000019772	Vip	0,2631039047	9,5350186923	5,393232944	1,74917694171713E-06	0,000940455	4,9343494764
17466659	ENSMUSG00000029817	Tra2a	0,3999026446	8,9010486	5,3069354917	2,37621458346893E-06	0,0012569792	4,6544163816
17531217	ENSMUSG00000066357	Wdr6	-0,4074738981	8,1808609692	-5,2556946211	2,84872521332095E-06	0,0014830102	4,4887126198
17516707	ENSMUSG00000070305	Mpzl3	0,3740151736	6,9155361846	5,2425117138	2,98459152912121E-06	0,0015294633	4,4461461428
17543817	ENSMUSG00000033965	Slc16a2	-0,2673295222	8,4494708308	-5,2285511392	3,13544602578826E-06	0,0015820496	4,4010981938
17282970	ENSMUSG00000007682	Dio2	0,5686695658	8,9347970308	5,2159212767	3,27838848526404E-06	0,0016291107	4,3603706851
17506991	ENSMUSG00000025810	Nrp1	0,3117850151	8,2652164769	5,2113539908	3,33164735840159E-06	0,0016308662	4,3456488169
17447963	ENSMUSG00000029088	Kcnip4	-0,2523502258	9,7603336308	-5,187410559	3,62512730678219E-06	0,0017484309	4,2685262775
17404601	ENSMUSG00000027669	Gnb4	-0,2716442334	8,7880841692	-5,183108057	3,68050247306436E-06	0,0017494122	4,254677677
17479205	ENSMUSG00000066406	Akap13	0,2468633907	7,6142951692	5,1577409005	4,02435790965022E-06	0,0018763143	4,1730898218
17383748	ENSMUSG00000075415	Fnbp1	-0,2179179268	9,6717718462	-5,155101471	4,06190542005111E-06	0,0018763143	4,1646068485
17518458	ENSMUSG00000032816	Igdcc4	-0,3315132607	7,3770986154	-5,0845249569	5,20444422390428E-06	0,0023706966	3,9382214948
17426700	ENSMUSG00000028402	Mpdz	0,2288311036	8,4153249692	5,0615384591	5,64089861487688E-06	0,0025343089	3,8646782655
17503300	ENSMUSG00000052566	Hook2	-0,4206124624	6,3947405692	-5,014013251	6,66070397105862E-06	0,0029173912	3,7129326827
17511377	ENSMUSG00000036902	Neto2	0,2103907202	10,2400585538	5,0135505873	6,6714741287634E-06	0,0029173912	3,7114574942
17438882	ENSMUSG00000054945	Gm9958	0,4916486635	5,2300872	4,9959273542	7,09472570727579E-06	0,0030616542	3,6552966644
17375396	ENSMUSG00000027227	Sord	-0,2633165788	8,1492939692	-4,991327921	7,20946775676256E-06	0,0030649918	3,6406491932
17451356	ENSMUSG00000042216	Sgsm1	0,3912406242	8,4319779385	4,988167506	7,28936680360365E-06	0,0030649918	3,6305868157
17295907	ENSMUSG00000021710	Nln	-0,2352550689	8,6171822308	-4,9769171416	7,58092219295283E-06	0,0031472342	3,5947826999
17257100	ENSMUSG00000055805	Fmnl1	0,3866811791	8,8908713846	4,966331138	7,86571967510338E-06	0,0032246501	3,5611154023
17427661	ENSMUSG00000035126	Wdr78	0,2699449546	7,4846509231	4,939862816	8,62465198103454E-06	0,0034291459	3,4770332848
17430680	ENSMUSG00000028909	Ptpru	0,3240310803	7,6897595538	4,9394702132	8,63643437147401E-06	0,0034291459	3,47578715
17328625	ENSMUSG00000022769	Sdf2l1	0,4070052194	7,1754425846	4,938082577	8,67820562345228E-06	0,0034291459	3,4713829922
17435584	ENSMUSG00000045294	Insig1	-0,3087399874	9,8856618154	-4,9200322409	0,00000924	0,0035230267	3,4141291657
17233536	ENSMUSG00000019916	P4ha1	0,3297181739	9,0035797692	4,9176923674	9,3153934040022E-06	0,0035230267	3,4067121581
17286818	ENSMUSG00000021366	Hivep1	0,2596709187	9,1462210615	4,9171612394	9,3325910874775E-06	0,0035230267	3,4050287263
17223080	ENSMUSG00000042807	Hecw2	-0,2554882628	9,0218005385	-4,9139411731	9,43752538007301E-06	0,0035230267	3,3948238281
17508045	ENSMUSG00000031534	Smim19	-0,2445018749	8,0707251538	-4,913472721	9,45288741663216E-06	0,0035230267	3,3933394057
17477979	ENSMUSG00000059824	Dbp	-0,4405848729	9,8632090615	-4,8865241835	1,03792285794533E-05	0,0037711362	3,3080213983
17313998	ENSMUSG00000023272	Creld2	0,2578560703	8,1944808769	4,8834137636	1,04917261171937E-05	0,0037711362	3,2981836238
17487211	ENSMUSG00000003545	Fosb	0,5666222408	5,8418158615	4,8807066116	1,05906125447574E-05	0,0037711362	3,2896229692
17307151	ENSMUSG00000021951	N6amt2	0,3515821348	7,6379514769	4,8788191462	1,06600986715609E-05	0,0037711362	3,2836552655
17352997	ENSMUSG00000033382	Trappc8	0,168201019	8,8394117385	4,8779153738	1,06935289757362E-05	0,0037711362	3,2807980227
17306189	ENSMUSG00000060373	Hnrnpc	0,1743934095	10,2950927692	4,8716945363	1,09264463306505E-05	0,00378328	3,2611357352
17526956	ENSMUSG00000060594	Layn	0,4299060653	6,9069648923	4,8708440888	1,09586730381585E-05	0,00378328	3,2584483471
17383366	NA	NA	-0,7137376746	5,9631850462	-4,8673529356	1,1091947179948E-05	0,003789402	3,2474180103
17278188	ENSMUSG00000021203	Otub2	0,3591186378	6,7016194462	4,8518726035	1,17023376415679E-05	0,0039567172	3,1985388866
17390079	ENSMUSG00000050211	Pla2g4e	-0,4288018445	7,1742252769	-4,8411693482	1,21435307960051E-05	0,0040639937	3,1647733224
17261055	ENSMUSG00000020286	1700093K21Rik	-0,637175051	4,3957763385	-4,8318232044	1,25421089414086E-05	0,0041549853	3,1353092365
17297125	ENSMUSG00000021745	Ptprg	0,2183745866	9,3381352462	4,8252665642	1,28293611524352E-05	0,0042076456	3,1146504819
17407934	ENSMUSG00000038550	Ciart	-0,5655231455	7,4210209077	-4,8216088817	1,29924031591554E-05	0,0042189292	3,1031298764
17407190	ENSMUSG00000027944	Hax1	0,271912713	8,2273859692	4,814781442	1,33021962934416E-05	0,0042690018	3,0816333189
17405154	ENSMUSG00000061143	Maml3	0,5541497591	6,5565281077	4,8125084316	1,34069331056971E-05	0,0042690018	3,0744788954
17293237	ENSMUSG00000021556	Golm1	0,2755649083	7,8734612462	4,7944552689	0,000014268	0,0044995075	3,0176961351
17284360	NA	NA	-0,406811358	7,8446578308	-4,7911309342	1,44324134099451E-05	0,0045079987	3,0072479751
17310922	ENSMUSG00000022324	Matn2	0,2754541895	8,4028185846	4,7735639985	1,53323699361635E-05	0,004743922	2,9520774396
17531958	ENSMUSG00000032437	Stt3b	0,1744876815	10,1555808923	4,7555580698	1,63118945131779E-05	0,0049998243	2,8956007079
17374455	ENSMUSG00000027351	Spred1	0,2244251617	10,4666004615	4,752439669	1,6487659651175E-05	0,0050069053	2,8858271709
17279893	ENSMUSG00000020627	Klhl29	0,2685675857	8,847401	4,744032257	1,69708377054376E-05	0,0051015726	2,8594882231
17275832	ENSMUSG00000055884	Fancm	-0,2498255249	7,8876738	-4,741645835	1,71104976415521E-05	0,0051015726	2,8520149536
17404628	ENSMUSG00000027674	Pex5l	0,2215231536	9,7614241077	4,7310561669	1,77439471743493E-05	0,0052427769	2,8188685024
17234678	ENSMUSG00000020265	Sumo3	-0,2988135138	7,1802381846	-4,7280967834	0,000017925	0,0052489966	2,8096100782
17542167	ENSMUSG00000073139	BC023829	0,2564084878	8,7305219077	4,7219796639	1,83051319160012E-05	0,005312862	2,7904791752
17285157	ENSMUSG00000050244	Heatr1	0,2349020417	7,7911339385	4,7046778641	1,94234596476179E-05	0,005587993	2,736416556
17466075	ENSMUSG00000042599	Kdm7a	0,1952839272	9,3596393077	4,6979591831	1,98755440979391E-05	0,0056683323	2,7154419303
17331731	ENSMUSG00000052299	Ltn1	0,1923021201	8,7170936462	4,6639582138	2,23262192707049E-05	0,0063123536	2,6094626143
17450448	ENSMUSG00000029298	Gbp9	-0,5336814763	5,7985355385	-4,6479711362	2,35784942926571E-05	0,0066094348	2,5597288425
17278779	NA	NA	-0,3811448109	9,7494243077	-4,6405434116	2,41834585059167E-05	0,0067215669	2,5366435477
17222837	ENSMUSG00000018417	Myo1b	-0,2390669385	8,7537638	-4,6234156422	0,000025637	0,0070656727	2,4834628647
17538096	ENSMUSG00000031438	Rnf128	0,2578934453	6,7003374	4,6060043631	0,000027202	0,0074144514	2,4294773155
17297801	NA	NA	0,3731222689	10,1371270462	4,6019394174	2,75806650788473E-05	0,0074144514	2,4168845537
17297833	NA	NA	0,3731222689	10,1371270462	4,6019394174	2,75806650788473E-05	0,0074144514	2,4168845537
17360109	ENSMUSG00000034336	Ina	0,1733045622	11,5181278462	4,5868886688	0,000029028	0,0077110754	2,3702956416
17288812	ENSMUSG00000071252	2210408I21Rik	-0,199224007	8,6544638769	-4,5850186525	2,92129378521985E-05	0,0077110754	2,3645111433
17548775	NA	Gm20326	0,2802964552	9,4352140154	4,5832449962	2,93894082166935E-05	0,0077110754	2,359025545
17478587	NA	A230056P14Rik	0,4277402192	6,4174495231	4,5774457594	2,99737113863561E-05	0,0078019668	2,3410952122
17460622	ENSMUSG00000030062	Rpn1	0,2050020231	9,6670900308	4,5740302781	3,03231373707306E-05	0,0078307712	2,3305391439
17317717	ENSMUSG00000036800	Fam135b	0,2172160124	9,1094944923	4,5476145009	3,31635160313626E-05	0,0084973737	2,2489996986
17375275	ENSMUSG00000027248	Pdia3	0,2360173703	10,5482403077	4,5448524369	3,34751115213651E-05	0,0085107227	2,2404844034
17481960	ENSMUSG00000055116	Arntl	0,2279238279	9,5539295231	4,5361297358	0,000034478	0,0086982796	2,2136060209
17303433	ENSMUSG00000021750	Fam107a	0,3547886615	11,2065764615	4,5332734456	3,48127926736417E-05	0,0087156883	2,2048089493
17411594	ENSMUSG00000028243	Ubxn2b	0,2427008586	9,1144986154	4,5288083011	3,53424689764524E-05	0,0087812648	2,1910611243
17455507	ENSMUSG00000029657	Hsph1	0,2406052335	10,7832869231	4,5197351347	3,64431352241512E-05	0,0089866579	2,1631419587
17342916	ENSMUSG00000036196	Slc26a8	-0,3214740499	6,6118183692	-4,516253196	3,6874359770655E-05	0,0090251371	2,152433492
17472760	ENSMUSG00000030256	Bhlhe41	-0,3417438464	8,0309159385	-4,5109685764	3,75383771274954E-05	0,0090876795	2,1361872307
17404296	ENSMUSG00000049796	Crh	0,4681241327	6,332741	4,5098108207	3,76854021185207E-05	0,0090876795	2,1326290008
17394175	ENSMUSG00000017009	Sdc4	0,3032511691	8,9336511077	4,5076512159	3,7961157672506E-05	0,0090876795	2,125992669
17518780	ENSMUSG00000032373	Car12	0,5439878975	6,7907616615	4,5047176356	3,83388990201384E-05	0,0091116005	2,1169799776
17301926	ENSMUSG00000034997	Htr2a	0,3153762539	9,4725540154	4,5019634423	3,86968809824744E-05	0,0091305151	2,1085205283
17244864	ENSMUSG00000020181	Nav3	-0,191063993	10,4618528462	-4,4961696758	3,94606249323584E-05	0,0092442151	2,090731811
17342868	ENSMUSG00000024222	Fkbp5	0,3896639998	7,2018672615	4,4924795506	3,99547146364166E-05	0,0092524056	2,0794067064
17218060	ENSMUSG00000032487	Ptgs2	0,4296515997	8,2371600923	4,49170039	4,00598101083412E-05	0,0092524056	2,077015914
17468298	ENSMUSG00000033769	Exoc6b	0,186799952	9,5910416308	4,4732119477	4,26342768033565E-05	0,0097781565	2,0203343942
