Ensembl ID	Mouse Gene 2.1 ST probeset ID	Mouse Genome 430 2.0 probeset ID	MGI Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000032724	17373754	1433453_a_at	Abtb2	0,000362474	5,6815299657	0,0065449387	0,9948038062	0,9989791351	-6,6151356764
ENSMUSG00000034282	17272262	1419133_at	Evpl	-0,0005758707	5,6361091971	-0,0079930483	0,9936541377	0,9989791351	-6,6151251299
ENSMUSG00000035373	17254047	1421228_at	Ccl7	0,0003851386	4,3574836979	0,0070393575	0,9944112809	0,9989791351	-6,6151323118
ENSMUSG00000037174	17405099	1428045_a_at	Elf2	-0,0005373212	5,4464107961	-0,0084073559	0,9933252172	0,9989791351	-6,615121726
ENSMUSG00000040276	17335145	1449381_a_at	Pacsin1	-0,0003033389	10,6726556584	-0,0083721287	0,9933531842	0,9989791351	-6,6151220221
ENSMUSG00000043705	17347114	1437960_at	Capn13	0,0004811749	4,4811156412	0,0082791644	0,9934269889	0,9989791351	-6,6151227976
ENSMUSG00000045662	17401805	1430722_at	Henmt1	0,0005734536	4,7976443117	0,0071659824	0,994310752	0,9989791351	-6,6151314107
ENSMUSG00000071252	17288812	1453502_at	2210408I21Rik	-0,0004403148	5,7787212921	-0,007654717	0,9939227411	0,9989791351	-6,6151277821
ENSMUSG00000072568	17317393	1434301_at	Fam84b	-0,0005293349	6,1813153362	-0,0079495195	0,9936886954	0,9989791351	-6,6151254776
ENSMUSG00000111836	17517244	1431476_at		-0,0006597042	4,2206127089	-0,0068526841	0,994559483	0,9989791351	-6,6151336109
ENSMUSG00000021604	17288454	1419539_at	Irx4	0,000669931	4,2262093468	0,009521257	0,9924408926	0,9988744684	-6,6151117214
ENSMUSG00000027673	17396750	1417102_a_at	Ndufb5	-0,0002514807	10,2973317207	-0,0094323692	0,9925114601	0,9988744684	-6,6151125654
ENSMUSG00000030470	17491368	1460318_at	Csrp3	0,0006710194	4,2121959641	0,0095842736	0,9923908641	0,9988744684	-6,6151111183
ENSMUSG00000055540	17331326	1421527_at	Epha6	-0,0003913102	7,7258151294	-0,0095540062	0,9924148931	0,9988744684	-6,6151114085
ENSMUSG00000103616	17350351	1453900_at	1700018A14Rik	-0,0011270346	5,0210701751	-0,0099825047	0,9920747113	0,9988744684	-6,6151072147
ENSMUSG00000022913	17332386	1448307_at	Psmg1	-0,000428502	7,9669916586	-0,0103189793	0,9918075877	0,9988029256	-6,6151037927
ENSMUSG00000024176	17342298	1435438_at	Sox8	0,0005612858	6,485972566	0,0114897708	0,9908781161	0,9988029256	-6,6150910014
ENSMUSG00000024621	17351053	1419872_at	Csf1r	-0,0003642923	10,2294312938	-0,0105811153	0,9915994812	0,9988029256	-6,6151010481
ENSMUSG00000025510	17484940	1424093_x_at	Cd151	0,0004345902	7,4135395354	0,010699404	0,9915055736	0,9988029256	-6,6150997871
ENSMUSG00000026303	17215629	1449896_at	Mlph	-0,0011128173	4,9055393247	-0,0105399127	0,9916321915	0,9988029256	-6,6151014841
ENSMUSG00000030374	17474157	1426209_at	Strn4	-0,0003593605	10,5291889391	-0,0111701539	0,9911318533	0,9988029256	-6,6150946296
ENSMUSG00000037594	17279417	1451533_at	BC022687	-0,000740965	6,2385534697	-0,010856724	0,9913806797	0,9988029256	-6,6150980882
ENSMUSG00000044313	17408536	1455241_at	Mab21l3	-0,0008288768	3,9716898347	-0,0106661386	0,9915319825	0,9988029256	-6,6151001431
ENSMUSG00000070324	17531357	1437703_at	Fbxw22	-0,0006046028	6,2657965185	-0,010263984	0,9918512478	0,9988029256	-6,6151043598
ENSMUSG00000097402	17522865	1442008_at	Gm17399	0,0006137925	4,3644899026	0,0105627185	0,9916140862	0,9988029256	-6,615101243
ENSMUSG00000022595	17317994	1453509_at	Lypd2	0,0006812491	4,8704701654	0,0120542114	0,9904300207	0,998557955	-6,6150843441
ENSMUSG00000041774	17323409	1428550_at	Ydjc	-0,0005116621	7,1807106535	-0,0120965663	0,9903963963	0,998557955	-6,6150838317
ENSMUSG00000016262	17231163	1454877_at	Sertad4	-0,0005487754	7,1161254083	-0,0123735984	0,9901764686	0,9985398435	-6,6150804356
ENSMUSG00000074061	17531383	1437316_at	Fbxw19	-0,0007705792	5,1604215972	-0,0126219734	0,9899792917	0,9984597805	-6,6150773255
ENSMUSG00000045657	17349898	1422729_at	Pcdhb10	0,000845348	4,9478524237	0,0129520183	0,9897172805	0,9983143011	-6,6150730972
ENSMUSG00000034783	17468222	1425243_at	Cd207	-0,000917728	3,8851129554	-0,0132657594	0,9894682135	0,9982797067	-6,6150689765
ENSMUSG00000052595	17358664	1432212_at	A1cf	0,0007108839	4,4721540638	0,0131435627	0,9895652206	0,9982797067	-6,6150705931
ENSMUSG00000024446	17344698	1449021_at	Rpp21	-0,0005230416	7,8610465308	-0,0135590074	0,9892354161	0,9981845759	-6,6150650358
ENSMUSG00000019774	17238984	1438025_at	Mtrf1l	-0,0009705445	6,1033797234	-0,0140315382	0,9888602954	0,9979248482	-6,6150585045
ENSMUSG00000046139	17357752	1433697_at	Patl1	0,0005373597	7,8318741206	0,0141825619	0,9887404052	0,9979226593	-6,61505637
ENSMUSG00000018916	17262816	1427429_at	Csf2	0,0011711751	4,2253915977	0,0144545533	0,9885244853	0,9978235368	-6,615052468
ENSMUSG00000027072	17372670	1449924_at	Prg3	0,0008442054	4,4100628141	0,0145486249	0,9884498069	0,9978235368	-6,6150511012
ENSMUSG00000022095	17308395	1457246_at	Fam160b2	-0,0004470572	8,0204138958	-0,0147667454	0,9882766532	0,997811004	-6,6150478979
ENSMUSG00000007908	17519550	1434913_at	Hmgcll1	0,0007404952	7,3592894008	0,0159006087	0,9873765516	0,9977566577	-6,6150304782
ENSMUSG00000018707	17278918	1416648_at	Dync1h1	-0,0005501669	11,1673835396	-0,0150960248	0,9880152577	0,9977566577	-6,6150429718
ENSMUSG00000024829	17355903	1452580_a_at	Mrpl21	0,0007629117	6,4767128287	0,0156369495	0,9875858523	0,9977566577	-6,6150346438
ENSMUSG00000028064	17406760	1448110_at	Sema4a	-0,0005443092	7,7972181775	-0,015119238	0,9879968301	0,9977566577	-6,6150426205
ENSMUSG00000030353	17471278	1426337_a_at	Tead4	-0,0008646034	4,5983712427	-0,0162125202	0,9871289478	0,9977566577	-6,6150254604
ENSMUSG00000030882	17481397	1445829_at	Dnhd1	0,0008253351	5,6970867672	0,0154333319	0,9877474909	0,9977566577	-6,6150378131
ENSMUSG00000033854	17283117	1431613_a_at	Kcnk10	0,0006372572	6,4567156079	0,0149828194	0,9881051246	0,9977566577	-6,6150446777
ENSMUSG00000044081	17288330	1419335_at	Zfp85os	-0,0008938622	5,1163763523	-0,0154156205	0,9877615507	0,9977566577	-6,6150380868
ENSMUSG00000059898	17352913	1434534_at	Dsc3	0,0010678747	4,1168175615	0,0150534529	0,9880490529	0,9977566577	-6,6150436148
ENSMUSG00000086047	17441361	1431493_at	9530046B11Rik	0,0011743299	4,603189641	0,0161491517	0,9871792514	0,9977566577	-6,6150264877
ENSMUSG00000097401	17329230	1447699_at	Gm26744	-0,0014272131	4,5171683984	-0,0160796896	0,9872343922	0,9977566577	-6,6150276092
ENSMUSG00000016498	17358552	1450290_at	Pdcd1lg2	-0,0012075587	4,0658219815	-0,0168033585	0,986659928	0,9976924724	-6,6150156882
ENSMUSG00000020327	17234948	1460296_a_at	Fgf22	-0,0012023798	5,760909676	-0,0168769349	0,9866015219	0,9976924724	-6,6150144467
ENSMUSG00000026735	17367376	1419424_at	Ptf1a	-0,0014184855	3,8790871572	-0,0170712163	0,9864472984	0,9976924724	-6,6150111427
ENSMUSG00000028597	17428054	1417836_at	Gpx7	0,0008442556	6,0124602669	0,0166937646	0,9867469256	0,9976924724	-6,6150175272
ENSMUSG00000047419	17294959	1427312_at	Cmya5	-0,0011746703	6,2563946904	-0,0167297192	0,9867183842	0,9976924724	-6,6150169252
ENSMUSG00000057315	17439669	1424842_a_at	Arhgap24	-0,0012662705	5,7084724645	-0,0170645899	0,9864525585	0,9976924724	-6,615011256
ENSMUSG00000031007	17533336	1437688_x_at	Atp6ap2	-0,0004547666	11,6096943641	-0,017970119	0,9857337432	0,9974908412	-6,6149953631
ENSMUSG00000035491	17536165	1429793_at	Fthl17a	-0,000881379	5,1106831901	-0,0178343903	0,9858414849	0,9974908412	-6,6149977976
ENSMUSG00000032096	17526349	1423743_at	Arcn1	0,0008140288	8,4237965973	0,0185186731	0,9852983028	0,9972922897	-6,6149853359
ENSMUSG00000047797	17536736	1448766_at	Gjb1	-0,0013529209	5,849666387	-0,0183780122	0,9854099585	0,9972922897	-6,6149879358
ENSMUSG00000091618	17238722	1460463_at	H60c	-0,0014646103	4,103539033	-0,0188784167	0,9850127421	0,9971283753	-6,6149785963
ENSMUSG00000021874	17297865	1432441_at	4933413J09Rik	-0,0019112239	5,3429185916	-0,0190993857	0,9848373401	0,9971262576	-6,6149743923
ENSMUSG00000059632	17331907	1427211_at	Krtap8-1	-0,0016345242	4,4274195477	-0,0190292372	0,9848930228	0,9971262576	-6,6149757322
ENSMUSG00000028024	17410251	1448649_at	Enpep	-0,0011689473	5,6809244873	-0,019500268	0,9845191276	0,9969858613	-6,6149666405
ENSMUSG00000034041	17503208	1419120_at	Lyl1	-0,0012448267	5,6330774433	-0,0197385373	0,9843299953	0,9969858613	-6,6149619569
ENSMUSG00000112484	17244529	1432067_at		0,0013644505	4,1882080707	0,0196205629	0,9844236403	0,9969858613	-6,614964283
ENSMUSG00000032726	17429674	1449873_at	Bmp8a	-0,0019537031	4,8610594338	-0,0200724184	0,9840649701	0,996883216	-6,6149552981
ENSMUSG00000020081	17233775	1422234_at	Tacr2	0,0010355154	5,5024499693	0,0204063059	0,9837999417	0,996733848	-6,6149485275
ENSMUSG00000097399	17287879	1431627_at	Gm26555	0,0012063578	3,9697497488	0,0205433234	0,9836911825	0,996733848	-6,6149457167
ENSMUSG00000020925	17270305	1418543_s_at	Ccdc43	-0,0020152004	5,9361916375	-0,0209974438	0,9833307214	0,9965814897	-6,6149362664
ENSMUSG00000086557	17408270	1446419_at	Gm15999	0,001742602	4,0953568905	0,0208919791	0,9834144345	0,9965814897	-6,6149384795
ENSMUSG00000025532	17442977	1418249_at	Crcp	-0,0010304089	8,3342379838	-0,0213220412	0,9830730722	0,9964738052	-6,6149293848
ENSMUSG00000025574	17272594	1416258_at	Tk1	0,0014466768	4,8017714025	0,0213308326	0,9830660941	0,9964738052	-6,614929197
ENSMUSG00000039480	17240199	1460615_at	Nt5dc1	-0,001066452	5,297210355	-0,0214763564	0,9829505852	0,9964738052	-6,6149260763
ENSMUSG00000074476	17524752	1431087_at	Spc24	0,0011121071	5,2705225819	0,0214109833	0,9830024748	0,9964738052	-6,6149274808
ENSMUSG00000012848	17473796	1416054_at	Rps5	-0,0007183434	11,005044295	-0,022185547	0,9823876734	0,9964425065	-6,6149105643
ENSMUSG00000036298	17320666	1435387_at	Slc2a13	0,000518869	9,9224905411	0,0220217792	0,9825176614	0,9964425065	-6,6149141911
ENSMUSG00000038058	17467015	1454733_at	Nod1	-0,0009910528	6,3390848473	-0,0226152937	0,9820465714	0,9964425065	-6,6149009194
ENSMUSG00000038357	17531482	1419691_at	Camp	-0,001612065	4,2168437909	-0,0219533098	0,982572008	0,9964425065	-6,6149156995
ENSMUSG00000050473	17239611	1428642_at	Slc35d3	0,0016035377	4,6225411779	0,0220757736	0,9824748042	0,9964425065	-6,6149129984
ENSMUSG00000064063	17288354	1439446_at	BC048507	-0,0019870213	4,4595368944	-0,0222799903	0,9823127108	0,9964425065	-6,6149084606
ENSMUSG00000049985	17289864	1432428_at	Ankrd55	-0,0016576536	4,3060849553	-0,0231254902	0,9816416184	0,9962140547	-6,6148892287
ENSMUSG00000019303	17269758	1442058_s_at	Psmc3ip	0,0012816086	5,7909203093	0,023853286	0,9810639611	0,9960906887	-6,6148721005
ENSMUSG00000022435	17313779	1449104_at	Upk3a	0,0021560948	4,9094387639	0,0234348892	0,9813960447	0,9960906887	-6,6148820121
ENSMUSG00000051663	17349866	1421631_at	Pcdhb1	-0,0016063419	3,7675167518	-0,0236510862	0,9812244477	0,9960906887	-6,6148769124
ENSMUSG00000054418	17258785	1444801_at	2900041M22Rik	0,0016432776	4,1962439937	0,0238232147	0,9810878287	0,9960906887	-6,6148728188
ENSMUSG00000106475	17548256	1444281_at	Gm43011	0,0014823054	5,2417979615	0,0234266908	0,9814025518	0,9960906887	-6,6148822045
ENSMUSG00000028294	17423867	1429851_at	Cfap206	0,0022982153	5,2487789857	0,0252884032	0,9799249274	0,9953492245	-6,6148367711
ENSMUSG00000034035	17417456	1457501_at	Ccdc17	0,0014048298	4,3480602541	0,0253620093	0,9798665084	0,9953492245	-6,6148349034
ENSMUSG00000086631	17476702	1447201_at	Gm12784	-0,0022702873	4,5198061532	-0,0251758801	0,980014234	0,9953492245	-6,6148396157
ENSMUSG00000104366	17227509	1454085_at	4933409D19Rik	0,0015194526	4,2579437793	0,0250868022	0,980084933	0,9953492245	-6,6148418586
ENSMUSG00000001416	17399012	1459987_s_at	Cct3	-0,0016598664	6,1861254985	-0,0259868694	0,9793705791	0,9951006112	-6,6148188299
ENSMUSG00000026546	17219591	1429930_at	Cfap45	-0,0015853085	4,8425859729	-0,026323056	0,9791037631	0,9949487653	-6,6148100201
ENSMUSG00000020657	17273700	1435117_a_at	Dnajc27	-0,0013175261	8,934833443	-0,0266577976	0,9788380964	0,9948674515	-6,6148011358
ENSMUSG00000022763	17323479	1431923_at	Aifm3	0,0009718176	8,1172674658	0,0268602455	0,9786774253	0,9948674515	-6,6147957081
ENSMUSG00000037962	17442701	1453192_at	Rflna	0,0016907463	4,2290835187	0,0265717552	0,9789063835	0,9948674515	-6,6148034301
ENSMUSG00000005204	17264867	1448866_at	Senp3	-0,0008076575	9,505554074	-0,0270809073	0,9785023	0,9948145835	-6,6147897454
ENSMUSG00000113652	17292536	1454162_at		0,0014827738	4,3391358712	0,027197718	0,9784095952	0,9948145835	-6,6147865692
ENSMUSG00000093540	17476869	1453835_at	4930505M18Rik	-0,0016648639	5,0300202773	-0,029033926	0,9769523599	0,9934771059	-6,6147348442
ENSMUSG00000000355	17534352	1425018_at	Mcts1	0,0009687094	9,5466414543	0,0295709132	0,9765262156	0,9931787668	-6,6147190792
ENSMUSG00000022496	17322944	1420782_at	Tnfrsf17	-0,0025286984	4,2420996375	-0,0295512478	0,9765418216	0,9931787668	-6,6147196616
ENSMUSG00000029386	17442568	1423224_at	Tctn2	-0,0012035722	7,081878403	-0,0301744444	0,9760472713	0,9931787668	-6,6147010157
ENSMUSG00000029680	17456440	1429990_at	Hyal4	-0,0014327055	4,6717449065	-0,0296999761	0,9764237944	0,9931787668	-6,614715247
ENSMUSG00000032607	17521661	1420125_at	Amt	0,0027688877	4,5231970189	0,0299117318	0,9762557511	0,9931787668	-6,6147089235
ENSMUSG00000070337	17268523	1459268_at	Gpr179	0,0019238041	5,0252201826	0,0297607646	0,9763755542	0,9931787668	-6,6147134363
ENSMUSG00000027796	17397645	1450265_at	Smad9	-0,0021553468	5,1602831099	-0,0308723298	0,9754934614	0,9928871338	-6,6146796733
ENSMUSG00000050954	17292316	1430664_at	Zfp169	-0,0024425815	6,013033254	-0,0308005048	0,9755504579	0,9928871338	-6,6146818924
ENSMUSG00000078618	17416136	1432225_at	4930456L15Rik	0,003149615	4,2938772475	0,03079817	0,9755523106	0,9928871338	-6,6146819644
ENSMUSG00000048602	17343542	1439222_at	Morc2b	0,0028779548	5,4307237417	0,0313877835	0,9750844288	0,9927685206	-6,6146635967
ENSMUSG00000024393	17344251	1422799_at	Prrc2a	-0,0011709152	9,8926490694	-0,0317059561	0,9748319497	0,9927411227	-6,6146535402
ENSMUSG00000024734	17362814	1450306_at	Zp1	-0,0026114689	4,5569337776	-0,0315692761	0,9749404089	0,9927411227	-6,6146578727
ENSMUSG00000092274	17550428	1428083_at	Neat1	0,0022473957	6,772221074	0,0317036919	0,9748337465	0,9927411227	-6,6146536121
ENSMUSG00000040759	17300381	1430600_at	Cmtm5	-0,0012050682	9,860331635	-0,0325448012	0,9741663147	0,992342783	-6,6146265407
ENSMUSG00000061923	17311147	1422585_at	Odf1	0,0017906493	4,1296235393	0,0325048416	0,9741980229	0,992342783	-6,6146278429
ENSMUSG00000000093	17254591	1422545_at	Tbx2	0,0032356624	4,0115055097	0,0330142669	0,9737937954	0,9922082864	-6,6146111226
ENSMUSG00000035969	17413300	1426791_at	Rusc2	0,0009783574	8,6103875423	0,0331215292	0,973708684	0,9922082864	-6,6146075689
ENSMUSG00000049580	17493571	1440230_at	Tsku	0,0018155744	4,6256315983	0,0329662564	0,9738318913	0,9922082864	-6,6146127095
ENSMUSG00000019518	17443766	1418846_at	Ap4m1	-0,0032715399	6,2898083169	-0,0334207933	0,9734712229	0,992198576	-6,6145975931
ENSMUSG00000007209	17474130	1418218_at	Ceacam9	0,0020340089	5,4252794632	0,0343185389	0,9727588915	0,9918422474	-6,614567129
ENSMUSG00000015957	17480500	1450772_at	Wnt11	0,0016582539	4,9018709066	0,0341109222	0,9729236265	0,9918422474	-6,614574246
ENSMUSG00000022385	17313895	1416969_at	Gtse1	-0,0022016988	5,2105258385	-0,0340917796	0,9729388154	0,9918422474	-6,6145749001
ENSMUSG00000035984	17353444	1422727_at	Nme5	-0,0013189981	7,3906795192	-0,034684936	0,9724681739	0,9918422474	-6,6145544636
ENSMUSG00000038406	17490532	1434908_at	Scaf1	0,0014556891	8,033802093	0,0350178695	0,9722040112	0,9918422474	-6,6145428384
ENSMUSG00000045348	17454145	1439770_at	Nyap1	0,0015104574	7,7597691531	0,0346703631	0,9724797367	0,9918422474	-6,61455497
ENSMUSG00000049823	17336752	1436382_at	Zbtb12	0,002053259	5,5991246255	0,0343515662	0,9727326858	0,9918422474	-6,6145659928
ENSMUSG00000051550	17485975	1428564_at	Zfp579	-0,0015724167	7,2422069855	-0,0340088511	0,973004616	0,9918422474	-6,6145777292
ENSMUSG00000064284	17320090	1451409_at	Cdpf1	0,0025643342	6,8011434673	0,0351216153	0,9721216958	0,9918422474	-6,6145391932
ENSMUSG00000029032	17433610	1427386_at	Arhgef16	0,0025023474	4,763093722	0,0360042565	0,9714213911	0,9913012077	-6,6145077443
ENSMUSG00000038239	17477774	1419109_at	Hrc	-0,0019354943	5,703074407	-0,0361567818	0,9713003769	0,9913012077	-6,6145022306
ENSMUSG00000057156	17306491	1434636_at	Homez	0,0020532535	5,2372950219	0,0361210306	0,971328742	0,9913012077	-6,6145035251
ENSMUSG00000097407	17236599	1431908_at	4933408J17Rik	0,0034791079	4,0646298337	0,0361565792	0,9713005376	0,9913012077	-6,614502238
ENSMUSG00000005640	17398825	1420564_at	Insrr	0,0035774342	4,974605403	0,036756529	0,9708245414	0,9912211077	-6,6144803244
ENSMUSG00000033313	17504682	1418411_at	Fbxl8	0,0015405555	4,8193673325	0,0366927095	0,9708751749	0,9912211077	-6,6144826726
ENSMUSG00000040533	17419305	1418477_at	Matn1	-0,0024422861	3,9412392247	-0,0373359446	0,9703648471	0,9909387795	-6,6144588185
ENSMUSG00000019850	17239597	1433699_at	Tnfaip3	0,001484467	6,0396287182	0,037844558	0,9699613339	0,9906460515	-6,6144396634
ENSMUSG00000043090	17509867	1455334_at	Zfp866	0,0018173858	7,5984586799	0,0382201656	0,969663347	0,9904610426	-6,6144253511
ENSMUSG00000041629	17271600	1418887_a_at	Fam104a	0,0014611798	6,8280469641	0,0386600219	0,9693143944	0,990223924	-6,614408411
ENSMUSG00000000732	17234786	1419212_at	Icosl	0,001767948	6,4733963965	0,0391309635	0,9689407875	0,9899615591	-6,6143900588
ENSMUSG00000028980	17433251	1452145_at	H6pd	0,0041373307	5,8239841661	0,0391423444	0,9689317589	0,9899615591	-6,6143896125
ENSMUSG00000012117	17431152	1425520_a_at	Dhdds	0,0016560594	7,7317005141	0,0394816122	0,9686626157	0,9899159727	-6,61437625
ENSMUSG00000022817	17325109	1417534_at	Itgb5	-0,0022863818	7,9219746713	-0,0395420948	0,9686146349	0,9899159727	-6,6143738557
ENSMUSG00000026816	17383395	1423998_at	Gtf3c5	-0,0014413734	6,73131664	-0,0399102944	0,9683225449	0,9899005907	-6,6143592009
ENSMUSG00000028115	17407749	1420683_at	Bnipl	0,0027358462	4,0809015817	0,0405891352	0,967784037	0,9899005907	-6,6143318261
ENSMUSG00000030122	17470988	1428707_at	Ptms	0,001336656	9,8155565764	0,0402902937	0,9680210989	0,9899005907	-6,614343934
ENSMUSG00000043518	17539395	1452358_at	Rai2	0,0039856925	4,4964303785	0,0408188445	0,9676018176	0,9899005907	-6,6143224583
ENSMUSG00000046213	17408974	1457271_at	Cym	-0,0024486927	4,4972262525	-0,0398561268	0,9683655154	0,9899005907	-6,6143613653
ENSMUSG00000050022	17444137	1455885_at	Amz1	0,0025003961	5,9268427394	0,0404040066	0,9679308935	0,9899005907	-6,6143393373
ENSMUSG00000054079	17267775	1454817_at	Utp18	0,0019935653	7,3715499233	0,0402323925	0,9680670304	0,9899005907	-6,6143462696
ENSMUSG00000070520	17491846	1422554_at	Nsmce3	0,0015668129	7,8963610021	0,0397949904	0,9684140142	0,9899005907	-6,6143638047
