	Ensembl.ID	MGI.Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
17295907	ENSMUSG00000021710	Nln	-0,3219819709	8,6171822308	-7,3359525378	1,50700862450462E-09	9,88507237157564E-07	11,6438449025
17444498	ENSMUSG00000059991	Nptx2	0,5799807263	7,8505640615	7,3102942126	1,65508612852941E-09	1,06435019132116E-06	11,5552130411
17480102	ENSMUSG00000030616	Sytl2	-0,4292080827	9,4225000308	-7,2944114531	1,75396526507271E-09	1,10624613074211E-06	11,5003373045
17316690	ENSMUSG00000037465	Klf10	0,7547137821	8,2185925538	7,2848597659	1,81625773627323E-09	1,12392084861421E-06	11,4673315615
17285438	ENSMUSG00000041324	Inhba	0,8426129008	7,0029487077	7,2340600767	2,18675984164059E-09	1,32813263937567E-06	11,2917436995
17526937	ENSMUSG00000037112	Sik2	0,3409698379	8,6250484923	7,2204935001	2,29792861567129E-09	1,36643344624311E-06	11,2448376184
17364588	ENSMUSG00000050121	Opalin	-0,5119922812	7,5544087538	-7,2163322438	2,3331485498556E-09	1,36643344624311E-06	11,2304490976
17345293	ENSMUSG00000023951	Vegfa	0,3664003425	9,2615742462	7,1995990119	2,48031773030054E-09	1,42714001053801E-06	11,1725850092
17390079	ENSMUSG00000050211	Pla2g4e	-0,5904598356	7,1742252769	-7,1793897223	2,67050675034423E-09	1,51007948088E-06	11,1026902515
17292117	ENSMUSG00000051335	Gfod1	0,3876585503	8,6962179077	7,1570082954	2,89822651550671E-09	1,61107008523854E-06	11,0252705128
17223080	ENSMUSG00000042807	Hecw2	-0,3441597543	9,0218005385	-7,1289016033	3,21193509683534E-09	1,74940891507116E-06	10,9280289815
17274249	ENSMUSG00000020571	Pdia6	0,3541336623	9,9469202923	7,1253626813	3,25377149798276E-09	1,74940891507116E-06	10,915783963
17244435	NA	Cep83os	-0,3447419329	8,7150497846	-7,0822480622	3,80947025585046E-09	1,98663355524985E-06	10,7665814437
17218044	ENSMUSG00000035131	Brinp3	-0,3409714078	9,8238834	-7,0817698333	3,816139097501E-09	1,98663355524985E-06	10,7649262709
17257100	ENSMUSG00000055805	Fmnl1	0,5100144775	8,8908713846	7,0545396904	4,21577771951378E-09	2,16038846667021E-06	10,6706744178
17262551	ENSMUSG00000020387	Jade2	0,3870816452	8,1845747385	7,0364089696	4,50483584431611E-09	0,000002273	10,6079112236
17236882	ENSMUSG00000019960	Dusp6	0,6977328151	9,3158038308	7,0067624839	0,000000005	0,000002495	10,5052727332
17278188	ENSMUSG00000021203	Otub2	0,4810535677	6,7016194462	6,9995226217	5,15557933464527E-09	2,52369455878151E-06	10,480205842
17412705	NA	Gm12371	-0,5160933522	8,2031990308	-6,9380706822	6,45517077817711E-09	3,11338582370404E-06	10,2674131254
17516469	ENSMUSG00000032010	Usp2	-0,2779994789	9,6737640462	-6,9035751944	7,32340114080175E-09	0,000003481	10,1479486705
17332766	ENSMUSG00000034265	Zdhhc14	0,3277185587	9,6718248308	6,888909133	7,72704690797442E-09	3,62034224915481E-06	10,0971550284
17416540	ENSMUSG00000028613	Lrp8	0,3244395249	8,7895073231	6,8527440632	8,82002216288688E-09	4,07422911093241E-06	9,9718991601
17449989	ENSMUSG00000089809	Rasgef1b	-0,4025242959	9,5762130769	-6,8389790874	9,27550747625006E-09	4,22512248192463E-06	9,9242240691
17466687	ENSMUSG00000029822	Osbpl3	0,3373635018	8,5871593846	6,8346767399	9,42263983924679E-09	4,23334683298325E-06	9,9093228244
17243738	ENSMUSG00000020048	Hsp90b1	0,257525404	11,4689487692	6,8117130479	1,02483243867933E-08	4,54208506640079E-06	9,8297878067
17467316	ENSMUSG00000036390	Gadd45a	0,498927399	7,2795863385	6,7887293674	1,11471292423508E-08	4,87456530348504E-06	9,7501844051
17530348	ENSMUSG00000032560	Dnajc13	-0,2010095878	9,3931910308	-6,7576887601	1,24872902436351E-08	5,38875865948029E-06	9,6426791552
17343263	ENSMUSG00000024042	Sik1	0,7530568874	7,2617129231	6,7131671973	1,46952684705383E-08	6,25923013023693E-06	9,488495164
17352265	ENSMUSG00000024647	Cbln2	0,3620378399	8,379883	6,7095969716	1,48883726508345E-08	6,26017894653102E-06	9,4761317506
17500535	ENSMUSG00000031530	Dusp4	0,6684539109	6,4224638615	6,7018312744	1,53171956865603E-08	0,000006359	9,4492401977
17235211	ENSMUSG00000035621	Midn	0,4958188051	7,7133305077	6,6962927084	1,56305519849055E-08	6,40794016811184E-06	9,4300612929
17550440	ENSMUSG00000097545	Mir124a-1hg	0,3428084806	9,2344744769	6,6848014375	1,63012662179815E-08	6,54692814173005E-06	9,3902705257
17226387	ENSMUSG00000036815	Dpp10	-0,1892335182	10,5815447692	-6,6836703729	1,63688175022674E-08	6,54692814173005E-06	9,3863540794
17341455	ENSMUSG00000002617	Zfp40	-0,3769712042	7,9063545077	-6,6287731223	0,00000002	7,88514485202014E-06	9,1962871841
17406221	ENSMUSG00000033910	Gucy1a3	-0,2905530304	9,8832234	-6,6262018712	2,01955107957951E-08	7,88514485202014E-06	9,1873860756
17293059	ENSMUSG00000014164	Klhl3	0,3160367411	8,6138929846	6,5978436764	2,24008840629005E-08	8,64331523071705E-06	9,0892241638
17226829	ENSMUSG00000059149	Mfsd4a	-0,3753960131	9,0220636154	-6,5785783752	0,000000024	9,1658760052585E-06	9,0225463071
17392123	ENSMUSG00000039913	Pak7	-0,3493366459	9,3470925692	-6,5631435776	2,54290179875489E-08	9,48518873055857E-06	8,9691317078
17428441	ENSMUSG00000047155	Cyp4x1	-0,3634815213	7,9092986154	-6,5629135732	2,5450395105929E-08	9,48518873055857E-06	8,9683357813
17429632	ENSMUSG00000028655	Mfsd2a	0,5020179877	8,6657944615	6,4920874087	0,000000033	1,21474157225846E-05	8,7233062501
17349514	ENSMUSG00000038418	Egr1	0,8582137268	9,1126036154	6,4888328945	3,33580364921829E-08	0,000012156	8,7120502693
17274092	NA	NA	-0,8224570176	4,5773883692	-6,4799497298	3,44576585160748E-08	1,24187673225462E-05	8,6813287956
17234896	NA	NA	-0,3637546912	8,727101	-6,4769425143	3,48380456845889E-08	1,24193846121463E-05	8,6709292072
17488735	ENSMUSG00000037239	Spred3	0,440489049	8,8066147846	6,4674493309	3,60665487252226E-08	1,27190817047433E-05	8,6381016137
17302724	ENSMUSG00000022136	Dnajc3	0,3349579703	9,2476978462	6,4640784952	3,65130814693189E-08	1,27395694994601E-05	8,6264458904
17247519	ENSMUSG00000045671	Spred2	0,3524031171	9,5410610923	6,429308287	4,14534163588805E-08	0,000014311	8,5062389186
17356356	ENSMUSG00000024883	Rin1	0,4107604077	7,7301298769	6,397110842	4,66204186023785E-08	1,5927186134398E-05	8,3949645346
17302113	ENSMUSG00000022012	Enox1	0,2722138173	8,7226072154	6,3861304214	4,85255080143969E-08	1,64071246015276E-05	8,3570251554
17423756	ENSMUSG00000040183	Ankrd6	0,3832435468	8,2813381385	6,3777346995	0,00000005	1,67446539456867E-05	8,3280195957
17492619	ENSMUSG00000030528	Blm	-0,3266423117	6,6744966462	-6,3668580442	5,20587543201193E-08	1,724617136805E-05	8,2904471385
17286818	ENSMUSG00000021366	Hivep1	0,3119744082	9,1462210615	6,3622926587	5,29326232859923E-08	1,73603124591069E-05	8,2746778643
17282743	ENSMUSG00000021253	Tgfb3	0,3883215432	7,4637300769	6,3336119869	5,87668126453285E-08	1,90829223200875E-05	8,1756324298
17402193	ENSMUSG00000039831	Arhgap29	-0,3095179428	8,3936947846	-6,330004607	5,95445961103089E-08	1,91459227316647E-05	8,1631773067
17257085	ENSMUSG00000048878	Hexim1	0,2956071335	9,0484238769	6,3184955319	6,20952777451243E-08	1,97722215942412E-05	8,123444108
17378640	ENSMUSG00000061689	Dlgap4	0,2699313444	9,3933461231	6,3023177286	6,58657424627073E-08	2,07711418802828E-05	8,0676032577
17381630	ENSMUSG00000026773	Pfkfb3	0,4975658713	6,8849819692	6,2982831756	6,68410564923826E-08	0,000020878	8,0536791401
17404601	ENSMUSG00000027669	Gnb4	-0,3047246495	8,7880841692	-6,2618245776	7,63332718384812E-08	2,36179463819497E-05	7,927888953
17315946	ENSMUSG00000044224	Dnajc21	0,383783502	8,8747718615	6,2538316746	7,85874258514025E-08	2,40881477163406E-05	7,9003207137
17498502	ENSMUSG00000070348	Ccnd1	0,3690365863	8,2268801077	6,2495673913	7,98170300924805E-08	2,42385105179915E-05	7,88561419
17452861	ENSMUSG00000029392	Rilpl1	0,2536065766	9,5726454923	6,2435346324	8,1589366868818E-08	2,45494171118956E-05	7,8648102543
17319823	NA	1700001L05Rik	-0,5280434284	5,9237340154	-6,233629087	8,45848671987418E-08	2,5219362631974E-05	7,8306552826
17346715	ENSMUSG00000045036	Tmem232	-0,4521253776	5,6682531231	-6,2255553648	8,71072267916857E-08	2,57374388926749E-05	7,8028205216
17228349	ENSMUSG00000056708	Ier5	0,4429413707	7,9509713385	6,1825083376	1,01874997853574E-07	2,98320920053897E-05	7,6544750713
17466659	ENSMUSG00000029817	Tra2a	0,4312152903	8,9010486	6,1629298169	1,09391919830851E-07	3,15903735471353E-05	7,5870412926
17526707	ENSMUSG00000066687	Zbtb16	0,354730371	9,0566856923	6,16189095	1,09805853717518E-07	3,15903735471353E-05	7,5834638078
17238996	ENSMUSG00000019775	Rgs17	0,2944566999	8,9972964923	6,1278568325	1,24263843830043E-07	0,000035439	7,4663002811
17462145	ENSMUSG00000048489	8430408G22Rik	0,7361308915	5,6446664923	6,0965843856	1,39211711230261E-07	3,93597111484386E-05	7,3587108798
17544078	ENSMUSG00000031239	Itm2a	-0,353136312	9,7331407077	-6,0787665105	1,48514780616198E-07	4,16311047852091E-05	7,2974404279
17222837	ENSMUSG00000018417	Myo1b	-0,2916885473	8,7537638	-6,0752804819	1,50405962814324E-07	4,18039352747576E-05	7,2854556123
17289553	ENSMUSG00000042743	Sgtb	-0,2404398842	10,9478135385	-6,0676866921	1,54608939622118E-07	0,000042611	7,2593514983
17282970	ENSMUSG00000007682	Dio2	0,6123153189	8,9347970308	6,0485281224	1,65739044786313E-07	4,52441257399618E-05	7,1935113466
17309774	ENSMUSG00000025551	Fgf14	-0,2176241734	10,4353931692	-6,0465676816	1,66921950621562E-07	4,52441257399618E-05	7,1867756387
17430962	ENSMUSG00000049649	Gpr3	0,5057465442	6,5110315385	6,028311402	1,78348610728724E-07	0,000047594	7,1240643255
17322927	ENSMUSG00000037972	Snn	-0,2264521906	9,0801192462	-6,0280868285	1,78493908131641E-07	0,000047594	7,1232930607
17530782	ENSMUSG00000032575	Manf	0,3512069641	6,8485356923	6,0105600153	1,90204244358431E-07	5,03074887276086E-05	7,0631117727
17450034	ENSMUSG00000029328	Hnrnpdl	-0,241070048	10,1697451385	-6,0022587051	0,000000196	5,14294074347947E-05	7,0346161839
17284360	NA	NA	-0,4719198344	7,8446578308	-5,9857246974	2,08116641351757E-07	5,41714403683616E-05	6,9778768786
17466532	NA	NA	0,3826717286	8,0021924308	5,955289623	2,32368444282076E-07	6,00077784812538E-05	6,8734920408
17364565	ENSMUSG00000061132	Blnk	0,3732906787	6,7894746308	5,9461874769	2,40152535016247E-07	6,15334585228739E-05	6,8422889868
17394483	ENSMUSG00000039671	Zmynd8	0,2578125575	8,8722242615	5,9393378768	2,46180610505452E-07	0,000062589	6,8188125548
17357183	ENSMUSG00000010097	Nxf1	0,2428689963	9,3367728769	5,9293649571	2,55227147139892E-07	6,38537032062166E-05	6,7846384611
17445453	ENSMUSG00000092094	Zfp804b	-0,4552718837	7,2928782	-5,9285092925	0,000000256	6,38537032062166E-05	6,7817067682
17350020	NA	Gm38447	0,4340222777	6,6407307077	5,9253127501	0,000000259	6,38537032062166E-05	6,7707552884
17406205	ENSMUSG00000028005	Gucy1b3	-0,1797451643	10,9428026154	-5,9234541335	2,60743998300612E-07	6,38537032062166E-05	6,7643880077
17343088	ENSMUSG00000043557	Mdga1	0,4783921674	6,4254268462	5,9232998215	2,60889600562034E-07	6,38537032062166E-05	6,7638593768
17414408	ENSMUSG00000038630	Zkscan16	-0,299751241	9,5133874154	-5,8989604025	2,8489597431983E-07	6,92128390353145E-05	6,6805057022
17510166	ENSMUSG00000031833	Mast3	0,3245493488	8,9455904462	5,8902613882	0,000000294	7,08988856673728E-05	6,6507277249
17511079	ENSMUSG00000035671	Zswim4	0,3978897551	6,8854518615	5,8859849529	2,98577675621767E-07	7,14777520245773E-05	6,6360914189
17317983	ENSMUSG00000022602	Arc	1,4465798132	8,7849438308	5,8837391543	0,000000301	7,15381206459342E-05	6,6284057419
17516450	ENSMUSG00000032012	Nectin1	0,4276785224	8,6124265538	5,8808965014	3,04119475761218E-07	7,17568809103645E-05	6,6186781525
17418540	ENSMUSG00000042608	Stk40	0,4112313602	8,1196911538	5,8778848949	3,07447389032134E-07	7,20239429863349E-05	6,6083732231
17447254	NA	NA	-0,3808071046	7,7070428462	-5,8746205219	3,1109546831832E-07	7,2361688471177E-05	6,5972043496
17506991	ENSMUSG00000025810	Nrp1	0,3258284858	8,2652164769	5,8652688475	3,21786032823364E-07	7,43212430880836E-05	6,5652136546
17328251	ENSMUSG00000022685	Parn	-0,3074380205	8,4959866308	-5,8557298046	3,33066589385559E-07	7,63887058187286E-05	6,532590549
17505215	ENSMUSG00000041308	Sntb2	0,3084518374	7,7088901538	5,8509653223	3,38847061526917E-07	7,71747713673492E-05	6,5162994943
17244864	ENSMUSG00000020181	Nav3	-0,2302511688	10,4618528462	-5,8353810887	3,58459146112107E-07	8,10785145864744E-05	6,4630281566
17432941	ENSMUSG00000041544	Disp3	0,3863077276	7,6818286154	5,8209988741	3,77556458780648E-07	8,41558774140042E-05	6,4138868495
17337844	ENSMUSG00000023960	Enpp5	-0,1808599928	10,4777127692	-5,8196172009	3,79443430857819E-07	8,41558774140042E-05	6,4091670175
17413945	ENSMUSG00000028341	Nr4a3	0,5813514208	7,2948252769	5,8193842663	3,79762473923609E-07	8,41558774140042E-05	6,4083713256
17485855	ENSMUSG00000052296	Ppp6r1	0,2028565965	9,5134458923	5,7931052463	4,17519249714977E-07	9,1901871361759E-05	6,3186389125
17387162	ENSMUSG00000042272	Sestd1	-0,2394511019	9,0446096615	-5,771450772	4,51413303337836E-07	9,86107665763558E-05	6,2447510396
17502499	ENSMUSG00000031622	Sin3b	0,2250950957	9,0215434308	5,7698578042	0,000000454	9,86107665763558E-05	6,2393175741
17430680	ENSMUSG00000028909	Ptpru	0,351043276	7,6897595538	5,7631231315	4,65162703597649E-07	0,000100368	6,2163492126
17324835	ENSMUSG00000022797	Tfrc	-0,2431867706	9,1037347692	-5,7542366677	4,80293149086127E-07	0,0001029554	6,1860496737
17280315	ENSMUSG00000020642	Rnf144a	-0,322376672	7,9000180154	-5,7283776292	5,27155080403438E-07	0,0001107618	6,0979288025
17295059	ENSMUSG00000021684	Pde8b	-0,2156151495	9,4894297385	-5,727801505	5,28249197782517E-07	0,0001107618	6,09596636
17311831	ENSMUSG00000032501	Trib1	0,6341043324	6,4193159231	5,7275912179	5,28649114655428E-07	0,0001107618	6,0952500718
17316068	ENSMUSG00000022197	Pdzd2	0,3045994371	7,4892544	5,7251317197	5,33348857524209E-07	0,0001107618	6,0868727956
17218568	ENSMUSG00000015829	Tnr	0,2491051371	10,3626880615	5,7250027846	5,33596373424961E-07	0,0001107618	6,0864336496
17208181	NA	NA	-0,8024065918	7,6161404154	-5,7060557607	5,7123503926898E-07	0,0001178289	6,0219213874
17513311	ENSMUSG00000014633	Cmc2	0,3576041243	7,7269081692	5,7024427492	5,78705637701184E-07	0,0001186238	6,0096241481
17483912	ENSMUSG00000006205	Htra1	0,2481761296	8,7713771846	5,6942801739	5,95941853400303E-07	0,0001213982	5,981847526
17266586	ENSMUSG00000049612	Omg	-0,263377648	9,1022074615	-5,6874729828	6,10704503842323E-07	0,0001236375	5,9586890466
17284839	ENSMUSG00000025321	Itgb8	-0,2543768294	9,3759728923	-5,6779340958	0,000000632	0,0001271645	5,9262462372
17274415	ENSMUSG00000052632	Asap2	0,3061819851	8,5894253538	5,673493008	6,4216892016188E-07	0,000128422	5,9111452427
17461648	ENSMUSG00000030276	Ttll3	0,3572218669	6,4408172615	5,6695108943	6,51421823119711E-07	0,0001294829	5,8976068715
17311807	ENSMUSG00000022351	Sqle	-0,2643272519	9,1903539846	-5,6614477731	6,70564011720196E-07	0,0001324849	5,8701996676
17529699	ENSMUSG00000045414	1190002N15Rik	-0,2829101693	9,5434863538	-5,6569608574	6,81456494450866E-07	0,0001338307	5,8549516341
17256242	ENSMUSG00000037992	Rara	0,4447581403	6,3394940615	5,6502914311	0,000000698	0,0001359362	5,8322911695
17452897	ENSMUSG00000029478	Ncor2	0,2933793137	9,0845209231	5,6492975513	7,00466978509477E-07	0,0001359362	5,8289147596
17221792	ENSMUSG00000026153	Fam135a	-0,2247881127	9,2372897846	-5,6476358735	7,04657958602688E-07	0,0001359451	5,8232699723
17329433	ENSMUSG00000022508	Bcl6	0,4134865569	7,6683644923	5,6439852726	0,000000714	0,0001366366	5,8108699074
17518780	ENSMUSG00000032373	Car12	0,6327401674	6,7907616615	5,6429639883	7,16574705993116E-07	0,0001366366	5,8074011816
17385044	ENSMUSG00000017144	Rnd3	0,4023505627	7,8960328769	5,6394122844	7,25767589376068E-07	0,0001375896	5,7953390387
17264651	ENSMUSG00000018476	Kdm6b	0,4066864049	7,6677186	5,6068219699	8,15767439169148E-07	0,0001537628	5,6847298802
17308525	ENSMUSG00000033487	Fndc3a	0,2145899749	9,6293917692	5,6009140101	8,33227891194693E-07	0,0001561564	5,6646929242
17403514	ENSMUSG00000036825	Ssx2ip	-0,2076488046	9,8581197692	-5,5972006982	8,44391185945739E-07	0,0001573494	5,6521014242
17516564	ENSMUSG00000032115	Hyou1	0,2889317232	9,4256007385	5,5694349045	9,32693081571887E-07	0,0001728222	5,5580063201
17249811	ENSMUSG00000020261	Slc36a1	0,3300567348	9,1777133231	5,5659854099	9,44283082167354E-07	0,0001739868	5,5463233744
17386347	ENSMUSG00000041997	Tlk1	-0,189320861	10,4470648	-5,5616098067	9,59190107335773E-07	0,0001757461	5,5315060825
17373616	ENSMUSG00000050587	Lrrc4c	-0,1738894844	9,8461372462	-5,5593320162	0,000000967	0,0001762005	5,523793703
17341963	ENSMUSG00000002504	Slc9a3r2	0,3164645533	8,6648027385	5,5564439848	9,77089461049876E-07	0,0001768818	5,5140160935
17297713	ENSMUSG00000007817	Zmiz1	0,3591608103	9,2174248462	5,5547373217	9,83075348628626E-07	0,0001768818	5,5082385995
17251583	ENSMUSG00000032807	Alox12b	0,4831743546	6,9166361538	5,5536348429	0,000000987	0,0001768818	5,5045066308
17526929	ENSMUSG00000037971	1110032A03Rik	-0,2569074927	9,5350734308	-5,548177074	1,00642444134504E-06	0,0001793897	5,4860340822
17372307	ENSMUSG00000027009	Itga4	-0,333368167	7,2746514154	-5,5414104094	1,03108343737596E-06	0,0001827916	5,4631369349
17330773	ENSMUSG00000022656	Nectin3	-0,3602259856	8,1175666462	-5,5385472685	1,04169647808127E-06	0,0001836802	5,4534504469
17491454	ENSMUSG00000047037	Nipa1	-0,2058279489	8,8316624154	-5,5280820168	1,08141705829097E-06	0,0001896644	5,4180541737
17240661	NA	NA	0,4978835952	5,0434576923	5,5255958483	1,09107148855645E-06	0,0001899737	5,409647478
17233536	ENSMUSG00000019916	P4ha1	0,343940073	9,0035797692	5,5246502365	1,09476589491713E-06	0,0001899737	5,406450221
17404570	ENSMUSG00000069072	Slc7a14	0,2366930583	9,6009467077	5,4993113703	1,19850707252305E-06	0,0002068812	5,3208215749
17506249	ENSMUSG00000031822	Gse1	0,3230961453	7,5439295231	5,4875838084	1,24975880476078E-06	0,0002145986	5,2812204754
17246967	ENSMUSG00000020484	Xbp1	0,3242038503	8,993516	5,4792768476	1,28736802313024E-06	0,0002199053	5,2531816798
17324305	ENSMUSG00000004460	Dnajb11	0,2804110492	8,9208187846	5,476768341	1,29894368714574E-06	0,0002200497	5,2447165561
17465971	ENSMUSG00000063455	D630045J12Rik	0,3059330271	9,2259422154	5,4761888363	1,30163245645027E-06	0,0002200497	5,2427611067
17412213	ENSMUSG00000040410	Fbxl4	-0,2867431515	7,2683601692	-5,466909924	1,34544202184188E-06	0,0002262895	5,211457408
17225888	ENSMUSG00000044768	D1Ertd622e	-0,2583641445	8,915885	-5,4620327009	1,36905103320789E-06	0,0002290855	5,1950083955
17484409	ENSMUSG00000025475	Adgra1	0,2690821443	9,6019745538	5,4524121485	1,41682876190029E-06	0,0002358768	5,1625720701
17320928	ENSMUSG00000022462	Slc38a2	0,2383080019	10,5149653846	5,4462140177	1,44847969658192E-06	0,0002399282	5,141681828
17525868	ENSMUSG00000032020	Ubash3b	0,3089439018	7,5990111385	5,4417667319	1,47161979609791E-06	0,0002425363	5,1266961317
