	Ensembl ID	MGI Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
17352265	ENSMUSG00000024647	Cbln2	0,3844672101	8,379883	6,8384820863	9,29238599758379E-09	1,60401254506713E-05	9,7671958742
17443519	ENSMUSG00000037428	Vgf	0,4387296959	9,1483239385	6,8020755008	1,06160414446429E-08	1,74087155629977E-05	9,6450916395
17243738	ENSMUSG00000020048	Hsp90b1	0,2656965456	11,4689487692	6,7449714191	1,30817886998344E-08	2,04306392375461E-05	9,4535404226
17237356	#N/D	Gm15723	0,4538910882	7,9095938154	6,5923332994	2,28565296468061E-08	3,40738910375591E-05	8,9414599672
17257937	ENSMUSG00000041695	Kcnj2	0,5761191637	7,3725759538	6,4644057952	3,64694836225116E-08	5,20038980159789E-05	8,5123790624
17516795	ENSMUSG00000032087	Dscaml1	0,2817062482	8,8919707077	6,4372777116	4,02652394295573E-08	5,50241273987996E-05	8,4214198151
17297713	ENSMUSG00000007817	Zmiz1	0,4280352338	9,2174248462	6,3534854784	5,4659938049263E-08	7,17072795280672E-05	8,1405709218
17231482	ENSMUSG00000019772	Vip	0,2981839277	9,5350186923	6,3178250038	6,22471942228921E-08	0,00007852	8,0211036703
17350032	ENSMUSG00000036452	Gm5820	0,6095422143	6,3034131231	6,3057371239	6,50502456623192E-08	7,90167743328549E-05	7,9806166439
17212087	ENSMUSG00000026077	Npas2	0,2659264057	9,5194537077	6,2163303774	9,00810512979634E-08	0,0001055139	7,681319822
17288677	ENSMUSG00000021587	Pcsk1	0,3140590762	8,6585404615	6,1819150364	1,02095048836186E-07	0,0001154625	7,5661969232
17548311	#N/D	#N/D	0,4044976167	10,6080287692	6,1132453206	0,000000131	0,0001282338	7,3366547601
17548313	#N/D	#N/D	0,4044976167	10,6080287692	6,1132453206	0,000000131	0,0001282338	7,3366547601
17548642	#N/D	#N/D	0,4044976167	10,6080287692	6,1132453206	0,000000131	0,0001282338	7,3366547601
17548644	#N/D	#N/D	0,4044976167	10,6080287692	6,1132453206	0,000000131	0,0001282338	7,3366547601
17436237	ENSMUSG00000029135	Fosl2	0,541161708	7,5731495231	6,1084255505	1,33352208024265E-07	0,0001282338	7,320552651
17429632	ENSMUSG00000028655	Mfsd2a	0,4915807086	8,6657944615	6,1012363584	1,36879782448213E-07	0,0001282338	7,2965369672
17455507	ENSMUSG00000029657	Hsph1	0,3138343934	10,7832869231	6,0935436723	1,40757266708958E-07	0,0001282338	7,2708424368
17237767	#N/D	#N/D	0,2730282449	8,9782063538	6,0341632845	1,74603663987473E-07	0,0001547696	7,0726172581
17222465	ENSMUSG00000037138	Aff3	0,2872495144	8,5371142923	6,0027608541	1,95657743343932E-07	0,0001688681	6,967874569
17516564	ENSMUSG00000032115	Hyou1	0,323781555	9,4256007385	5,9899879334	2,04926772807281E-07	0,0001723329	6,9252885706
17340404	ENSMUSG00000024256	Adcyap1	0,4380564678	7,4678678154	5,9763897417	2,15274674831326E-07	0,0001765091	6,8799628885
17511183	ENSMUSG00000003814	Calr	0,2824210795	11,2790252308	5,9674805947	2,22334221947044E-07	0,0001778511	6,8502735469
17544078	ENSMUSG00000031239	Itm2a	-0,36006288	9,7331407077	-5,9485261405	2,38128135119573E-07	0,0001859497	6,7871268477
17354263	ENSMUSG00000033319	Fem1c	0,337408418	8,8075130923	5,9257248331	2,58610771931889E-07	0,0001935078	6,7111980583
17328625	ENSMUSG00000022769	Sdf2l1	0,4724367864	7,1754425846	5,9246616348	2,59607434708374E-07	0,0001935078	6,7076585058
17498502	ENSMUSG00000070348	Ccnd1	0,3613230164	8,2268801077	5,8726497079	3,13318714317732E-07	0,0002283536	6,5346065648
17515617	ENSMUSG00000034275	Igsf9b	0,3478630089	9,2021783077	5,8233958398	3,74304955450885E-07	0,0002668713	6,3709285184
17272926	ENSMUSG00000025582	Nptx1	0,3374878515	9,1072014615	5,8135349834	3,87861919978253E-07	0,0002697913	6,3381837219
17430680	ENSMUSG00000028909	Ptpru	0,3686506695	7,6897595538	5,8085830765	3,94852620212563E-07	0,0002697913	6,3217431516
17391709	ENSMUSG00000074796	Slc4a11	0,497570373	5,283629	5,7974704591	0,000000411	0,0002742608	6,2848564856
17526707	ENSMUSG00000066687	Zbtb16	0,3474625599	9,0566856923	5,7927073513	4,18118662473871E-07	0,0002742608	6,2690493826
17404601	ENSMUSG00000027669	Gnb4	-0,2914635958	8,7880841692	-5,7482489359	4,90762376424558E-07	0,0003155987	6,1216059649
17481863	ENSMUSG00000038244	Mical2	0,3654097407	11,1041830769	5,7106942597	5,61784078384097E-07	0,0003543237	5,9972025125
17234896	#N/D	#N/D	-0,3308424477	8,727101	-5,6538021047	6,89229713304855E-07	0,0004265031	5,8090083805
17375275	ENSMUSG00000027248	Pdia3	0,283005096	10,5482403077	5,6328936501	7,42944881872352E-07	0,0004512289	5,7399296277
17332766	ENSMUSG00000034265	Zdhhc14	0,2789457391	9,6718248308	5,6276501424	7,570539161834E-07	0,0004514381	5,7226131367
17414408	ENSMUSG00000038630	Zkscan16	-0,2975096215	9,5133874154	-5,6191864811	7,80389734988982E-07	0,0004570436	5,6946685185
17314888	ENSMUSG00000023019	Gpd1	0,3926002453	8,7838219846	5,5882640346	8,7186833589199E-07	0,0005016608	5,5926387292
17249461	ENSMUSG00000036264	Fstl4	0,3723736052	9,1084012	5,5656522528	9,45409984183324E-07	0,0005345967	5,5180988535
17285438	ENSMUSG00000041324	Inhba	0,6741672269	7,0029487077	5,5549426802	9,82353164448242E-07	0,0005460718	5,4828153783
17330410	ENSMUSG00000022799	Arhgap31	0,3129718075	8,0024818	5,5276004639	1,08328042531382E-06	0,0005921391	5,3927961175
17487001	ENSMUSG00000004328	Hif3a	0,5002829657	5,7945903231	5,475506676	1,30480458056299E-06	0,0006942015	5,2215401729
17289372	ENSMUSG00000041773	Enc1	0,1859228628	11,5115409231	5,4728938065	0,000001317	0,0006942015	5,2129594889
17355248	#N/D	Gm26910	0,2544552591	8,1700814923	5,4694099387	1,33349687534555E-06	0,0006942015	5,2015198051
17362240	ENSMUSG00000024966	Stip1	0,2245074629	10,1692933846	5,4488088805	1,43514474225057E-06	0,0007354444	5,1339060209
17302113	ENSMUSG00000022012	Enox1	0,2416348284	8,7226072154	5,4405785948	1,47786354462154E-06	0,0007454411	5,106909337
17218568	ENSMUSG00000015829	Tnr	0,2463957508	10,3626880615	5,434807561	1,50856539305185E-06	0,0007454411	5,0879847609
17481960	ENSMUSG00000055116	Arntl	0,2640679281	9,5539295231	5,4321639737	1,52283907875846E-06	0,0007454411	5,0793173007
17432941	ENSMUSG00000041544	Disp3	0,3749198043	7,6818286154	5,4220115664	1,57890764556345E-06	0,0007615211	5,0460395865
17274092	#N/D	#N/D	-0,7149547716	4,5773883692	-5,4062351711	1,67011117808352E-06	0,00078362	4,9943551903
17283155	ENSMUSG00000051166	Eml5	0,2284363205	9,8150359538	5,4058313603	1,67251271499785E-06	0,00078362	4,9930327287
17222837	ENSMUSG00000018417	Myo1b	-0,2701993515	8,7537638	-5,401186785	1,70038150850071E-06	0,0007854565	4,9778235754
17339967	ENSMUSG00000024245	Tmem178	0,2086661223	10,8671101538	5,3903225749	1,76737530506759E-06	0,000805064	4,9422592208
17525617	ENSMUSG00000032128	Robo3	0,4866713919	6,7941264	5,3834973054	1,810790621732E-06	0,0008135411	4,9199248821
17218060	ENSMUSG00000032487	Ptgs2	0,497829471	8,2371600923	5,3794320431	1,83714876734571E-06	0,0008142293	4,9066252237
17510586	ENSMUSG00000004383	Large1	0,1989030382	10,7513950769	5,3701224206	1,89894697418193E-06	0,0008303969	4,8761772344
17351952	ENSMUSG00000025425	St8sia5	0,2955561924	10,1580589231	5,3379836456	2,12849515044278E-06	0,0009160446	4,7711597761
17217169	ENSMUSG00000065435	Mir135b	0,5745653889	5,8724434154	5,3350629073	2,15066734771063E-06	0,0009160446	4,7616233362
17224730	ENSMUSG00000050711	Scg2	0,3099763797	9,9915756615	5,3224161801	2,24933462982537E-06	0,0009349285	4,7203452919
17451356	ENSMUSG00000042216	Sgsm1	0,4038525754	8,4319779385	5,3220802476	0,000002252	0,0009349285	4,7192491545
17285559	ENSMUSG00000041112	Elmo1	0,201031406	9,7923514615	5,3153736953	2,30620313504637E-06	0,0009454568	4,6973694005
17370103	ENSMUSG00000026864	Hspa5	0,3159691709	9,5181182154	5,2631074682	0,000002775	0,0011236119	4,5270876714
17226829	ENSMUSG00000059149	Mfsd4a	-0,3115870392	9,0220636154	-5,2405844047	0,000003005	0,0011898773	4,4538392605
17251527	ENSMUSG00000020893	Per1	-0,4184162209	9,1490626154	-5,2399951485	3,01124540302296E-06	0,0011898773	4,4519239935
17516450	ENSMUSG00000032012	Nectin1	0,3952452775	8,6124265538	5,2161578241	3,27565311302688E-06	0,0012789476	4,3744921844
17387485	ENSMUSG00000034075	Zdhhc5	0,1692270113	9,7401712769	5,1903540449	3,58771745555248E-06	0,0013843102	4,290777471
17297125	ENSMUSG00000021745	Ptprg	0,2265527533	9,3381352462	5,1742812949	3,79673092650027E-06	0,0014479231	4,2386890771
17374871	ENSMUSG00000027296	Itpka	-0,2287256218	9,4317786615	-5,1657074131	3,91309207022781E-06	0,0014751458	4,2109208093
17316878	ENSMUSG00000022311	Csmd3	-0,2675432449	8,7337726154	-5,1504654792	4,128693042793E-06	0,0015387357	4,1615877454
17514871	ENSMUSG00000001774	Chordc1	0,2470140342	9,6828984	5,1465801662	4,18549898780896E-06	0,0015423799	4,1490186883
17517831	ENSMUSG00000032323	Cyp11a1	0,3723966907	6,2231276923	5,1370319537	4,3283939644507E-06	0,0015773149	4,1181411959
17430777	ENSMUSG00000028901	Gmeb1	0,3641607759	7,6683120769	5,1237654601	4,5349467313137E-06	0,0016344247	4,0752658364
17286818	ENSMUSG00000021366	Hivep1	0,260933946	9,1462210615	5,107203855	4,80647625695766E-06	0,0017134565	4,0217848811
17364588	ENSMUSG00000050121	Opalin	-0,376060974	7,5544087538	-5,0870887149	5,15787671311461E-06	0,0018068524	3,9568949938
17360109	ENSMUSG00000034336	Ina	0,1859054666	11,5181278462	5,0858300115	5,18068799935841E-06	0,0018068524	3,9528369527
17448821	ENSMUSG00000029153	Ociad2	0,3368002532	9,8961325385	5,0829236293	5,23374021232461E-06	0,0018068524	3,9434679238
17447884	ENSMUSG00000039706	Ldb2	0,2392555502	10,3437276923	5,0696337777	5,48322622182854E-06	0,0018650604	3,9006464201
17394405	ENSMUSG00000017670	Elmo2	0,2537434154	9,9162694923	5,0679282707	5,51607934959068E-06	0,0018650604	3,8951534268
17485855	ENSMUSG00000052296	Ppp6r1	0,1832698867	9,5134458923	5,0230943259	6,45273984990483E-06	0,0021573934	3,7509502564
17477979	ENSMUSG00000059824	Dbp	-0,4379375415	9,8632090615	-5,0204670668	6,51224030437367E-06	0,0021573934	3,7425118049
17394366	ENSMUSG00000053166	Cdh22	0,2609990871	8,1777208308	5,0162543949	6,60877500147483E-06	0,0021674799	3,7289839606
17487211	ENSMUSG00000003545	Fosb	0,559537526	5,8418158615	4,9817253356	7,45493944719282E-06	0,0024207886	3,6182332595
17465341	ENSMUSG00000029701	Rbm28	0,2534578993	8,4201831846	4,9765578212	7,59042063990114E-06	0,0024406179	3,601678797
17340609	ENSMUSG00000052397	Ezr	0,3895286342	8,8427361077	4,9731221946	7,68183268111082E-06	0,0024435267	3,5906754831
17297258	ENSMUSG00000042567	Nek10	-0,3663173291	5,7172409077	-4,9706427149	7,74847624966131E-06	0,0024435267	3,582735891
17226418	#N/D	#N/D	-0,6054352178	5,4202022308	-4,962271772	7,9776984860546E-06	0,0024918531	3,5559402049
17280842	#N/D	#N/D	0,239163069	8,2841645846	4,9519519933	8,26947921325741E-06	0,0025586237	3,5229256113
17463268	ENSMUSG00000038115	Ano2	-0,7870007551	6,2612323077	-4,9472416303	8,4061233702823E-06	0,0025765947	3,5078635777
17257085	ENSMUSG00000048878	Hexim1	0,240576149	9,0484238769	4,9352513927	0,000008764	0,002645868	3,4695435254
17364665	ENSMUSG00000025020	Slit1	0,3150608299	8,2070549692	4,9342871201	8,79347537009938E-06	0,002645868	3,4664630474
17301926	ENSMUSG00000034997	Htr2a	0,3339736017	9,4725540154	4,9277264382	8,99628576991808E-06	0,0026822835	3,4455092778
17274249	ENSMUSG00000020571	Pdia6	0,2549208886	9,9469202923	4,9226972388	9,15485993420021E-06	0,0027049724	3,4294528258
17453882	ENSMUSG00000037364	Srrt	0,2143876274	9,1131470615	4,9123750481	0,000009489	0,0027648733	3,3965141474
17244435	#N/D	Cep83os	-0,2490903236	8,7150497846	-4,911247461	9,52619703383872E-06	0,0027648733	3,3929172981
17316068	ENSMUSG00000022197	Pdzd2	0,2718143546	7,4892544	4,9032802169	9,79328222543903E-06	0,0027952084	3,3675104502
17320322	ENSMUSG00000053137	Mapk11	0,4317434854	9,1230000308	4,9030481881	9,80116976333044E-06	0,0027952084	3,3667707301
17482508	ENSMUSG00000030889	Vwa3a	-0,3036706115	6,1455669077	-4,8978414915	9,97981584132745E-06	0,0028216209	3,350174478
17480102	ENSMUSG00000030616	Sytl2	-0,2999744328	9,4225000308	-4,8928797699	0,000010153	0,0028460597	3,3343643969
17324305	ENSMUSG00000004460	Dnajb11	0,2602393588	8,9208187846	4,8782063551	1,06827544301399E-05	0,002969172	3,2876394279
17228073	ENSMUSG00000026482	Rgl1	0,1978552353	9,5877864462	4,8603198007	1,13652873337293E-05	0,0031323305	3,2307450902
17511878	ENSMUSG00000031775	Pllp	-0,2851702958	8,7643702462	-4,8556188229	1,15516661191603E-05	0,0031432769	3,2158034793
17406646	ENSMUSG00000004894	Hapln2	0,3469760576	7,2178461692	4,8544944727	1,15966858690316E-05	0,0031432769	3,2122305505
17364565	ENSMUSG00000061132	Blnk	0,3170183002	6,7894746308	4,8465614549	1,19192620987949E-05	0,0032042298	3,1870290556
17278814	ENSMUSG00000065617	Mir323	-0,3555990894	8,0160628615	-4,8223578226	1,29588542300063E-05	0,0034553784	3,1102247382
17394538	ENSMUSG00000006800	Sulf2	0,2490880106	9,8532981385	4,8082302125	1,36062664052829E-05	0,0035987477	3,0654543506
17510166	ENSMUSG00000031833	Mast3	0,2758664036	8,9455904462	4,8051901379	1,37496759048533E-05	0,003607585	3,0558262087
17531958	ENSMUSG00000032437	Stt3b	0,1703674155	10,1555808923	4,7993754802	1,40281139878766E-05	0,003651429	3,0374165607
17378232	ENSMUSG00000038523	1700003F12Rik	-0,574308623	6,6854106615	-4,7936897958	1,43057227350524E-05	0,0036860549	3,0194226489
17251583	ENSMUSG00000032807	Alox12b	0,4344017192	6,9166361538	4,7920674215	1,43859202108495E-05	0,0036860549	3,0142895449
17357183	ENSMUSG00000010097	Nxf1	0,2038275742	9,3367728769	4,7759192877	1,52085866726275E-05	0,0038666358	2,963230468
17345830	ENSMUSG00000040260	Daam2	0,2699414777	8,2731865846	4,7686334599	1,55947044084193E-05	0,003934304	2,9402128711
17282970	ENSMUSG00000007682	Dio2	0,5007667803	8,9347970308	4,7475334022	0,000016768	0,0041836969	2,8736224108
17278773	#N/D	Rian	-0,260480765	8,9433294	-4,746313659	1,68383689319012E-05	0,0041836969	2,8697761561
17450718	ENSMUSG00000029270	Fam69a	-0,2332147248	8,7606897692	-4,7369026715	1,73914336909698E-05	0,0042886229	2,8401119562
17289137	ENSMUSG00000007617	Homer1	0,3181204835	9,7241077231	4,7316492773	1,77078689176689E-05	0,004334067	2,8235619216
17407934	ENSMUSG00000038550	Ciart	-0,5363954324	7,4210209077	-4,7270276354	1,79909119974528E-05	0,0043707255	2,8090075385
17449033	ENSMUSG00000029246	Ppat	-0,2198948267	8,0660648154	-4,7047269584	1,9420193569786E-05	0,004659534	2,7388503799
17412719	#N/D	#N/D	-0,7011469321	7,1753283385	-4,7040712787	1,94638581488579E-05	0,004659534	2,7367894428
17318923	ENSMUSG00000019146	Cacng2	0,2354360221	9,8289587692	4,685870852	0,000020715	0,004923124	2,6796233512
17404296	ENSMUSG00000049796	Crh	0,4668899845	6,332741	4,649147529	0,000023484	0,0055410531	2,5645259736
17445568	ENSMUSG00000042508	Dmtf1	0,17954126	9,3114071231	4,6316669165	2,49263665926477E-05	0,0058393575	2,5098568667
17313418	ENSMUSG00000042109	Csdc2	0,3949942622	8,5093072	4,6169566862	0,000026207	0,0060440274	2,4639118701
17289324	ENSMUSG00000091387	Gcnt4	0,2914242764	8,4914256308	4,6152357655	2,6360935634228E-05	0,0060440274	2,4585404641
17388041	#N/D	#N/D	0,2144262033	9,7173011692	4,6150821608	2,63747204546827E-05	0,0060440274	2,4580610639
17285097	ENSMUSG00000048264	Dip2c	0,1621288182	9,2303257385	4,6132777471	2,65371814549894E-05	0,0060440274	2,4524299419
17517634	ENSMUSG00000042557	Sin3a	-0,1865031789	8,2898777385	-4,6101363282	2,68223591011018E-05	0,0060668477	2,4426283563
17326756	ENSMUSG00000022762	Ncam2	-0,1661401308	10,5698376	-4,5973543066	2,80139432380991E-05	0,0062929678	2,4027732036
17286587	ENSMUSG00000021423	Ly86	-0,3241534381	8,5328397692	-4,5922579204	2,85033489814453E-05	0,006350671	2,3868941368
17394582	ENSMUSG00000039621	Prex1	0,2273566554	8,6546077385	4,5906643555	2,86580878557762E-05	0,006350671	2,3819303714
17452897	ENSMUSG00000029478	Ncor2	0,2480761411	9,0845209231	4,5846680636	2,9247737416703E-05	0,0064117469	2,3632585641
17309099	ENSMUSG00000072294	Klf12	0,2705108265	9,1392379692	4,5838941956	2,93246953536309E-05	0,0064117469	2,3608495062
17317608	ENSMUSG00000022375	Lrrc6	-0,3549503906	7,1306794615	-4,5807451389	2,96399032246431E-05	0,0064377477	2,3510480805
17525894	ENSMUSG00000049313	Sorl1	0,2504370325	10,5382956923	4,5705771002	3,06804678346273E-05	0,0065563999	2,3194178656
17472760	ENSMUSG00000030256	Bhlhe41	-0,3348466989	8,0309159385	-4,5685312132	3,08941121275692E-05	0,0065563999	2,3130569132
17476199	ENSMUSG00000011427	Zfp790	-0,2537479557	8,1725741692	-4,5683453333	3,09135947785753E-05	0,0065563999	2,3124790412
17509479	ENSMUSG00000096914	Galntl6	-0,2279404369	8,6421318462	-4,5676572313	3,0985821485337E-05	0,0065563999	2,3103399169
17481725	ENSMUSG00000061079	Zfp143	0,2589821849	8,5409646308	4,5569314007	3,21332170965866E-05	0,0067555969	2,2770123928
17247695	ENSMUSG00000020290	Xpo1	0,2278038707	9,0926255846	4,5518705643	3,26889197013799E-05	0,0068286529	2,2612978682
17260295	ENSMUSG00000053838	Nudcd3	-0,1895070521	8,5367162308	-4,5498116596	3,29176747353623E-05	0,0068329176	2,2549066682
17543753	ENSMUSG00000031323	Dmrtc1a	-0,3207548887	6,5078469231	-4,5479164666	3,31296228724796E-05	0,0068336619	2,249024659
17445453	ENSMUSG00000092094	Zfp804b	-0,3634669337	7,2928782	-4,5425270306	3,37396632555777E-05	0,0069159983	2,2323030087
17513311	ENSMUSG00000014633	Cmc2	0,2965220052	7,7269081692	4,5380918504	3,42499110259968E-05	0,0069769834	2,2185479476
17548593	ENSMUSG00000078453	Abracl	0,3177895562	6,6868258769	4,5340075095	3,47264601146923E-05	0,0070303933	2,2058856452
17355411	ENSMUSG00000024558	Mapk4	0,2207283714	9,6635653538	4,5295493074	0,000035254	0,0070934128	2,1920694343
17327038	ENSMUSG00000022971	Ifnar2	-0,2044086468	8,2648831846	-4,5238870754	3,5935369433246E-05	0,0071864165	2,1745296242
17358905	ENSMUSG00000041180	Hectd2	0,196430944	8,4336622308	4,5155620105	3,69605513108482E-05	0,0073466376	2,1487570165
17543817	ENSMUSG00000033965	Slc16a2	-0,223264654	8,4494708308	-4,5135253653	3,72156688177747E-05	0,0073527849	2,1424548779
17257100	ENSMUSG00000055805	Fmnl1	0,339455334	8,8908713846	4,5063690206	3,81258098252019E-05	0,0074874981	2,1203194834
17235227	ENSMUSG00000045193	Cirbp	-0,4211848968	7,2039563538	-4,4781754018	4,19276900160096E-05	0,0081851336	2,0332507908
17509629	ENSMUSG00000031604	Msmo1	-0,2405255062	8,8549015538	-4,4686492267	4,32940596988893E-05	0,0084018655	2,0038816631
17452861	ENSMUSG00000029392	Rilpl1	0,1888307736	9,5726454923	4,4617036877	4,43175753645629E-05	0,0085340141	1,9824846822
17350020	#N/D	Gm38447	0,34042982	6,6407307077	4,4605128003	4,44954235333018E-05	0,0085340141	1,9788173052
17330271	ENSMUSG00000022829	Stxbp5l	0,1406149244	10,0254057231	4,4478380248	0,000046432	0,0088536572	1,9398097876
17385365	ENSMUSG00000075334	Rprm	-0,309291108	8,2981402615	-4,4450141621	4,68744813024734E-05	0,0088595354	1,9311253652
17422546	#N/D	#N/D	0,3825982331	5,9081823385	4,4422698154	4,73084809729703E-05	0,0088595354	1,9226876623
17353420	ENSMUSG00000036501	Fam13b	0,1522187475	9,7989633846	4,4415495686	0,000047423	0,0088595354	1,9204735648
17435825	ENSMUSG00000029177	Cenpa	0,3092545117	5,8638039692	4,4386226108	4,78913318692986E-05	0,0088595354	1,9114773825
17538782	#N/D	#N/D	-0,5973896379	8,2061790769	-4,4377136857	4,80376717235925E-05	0,0088595354	1,9086842449
17226387	ENSMUSG00000036815	Dpp10	-0,130860721	10,5815447692	-4,4359251219	4,8326910868582E-05	0,0088595354	1,9031886575
17245481	ENSMUSG00000025795	Rassf3	-0,3144474042	7,9354588769	-4,435759895	4,83537162215197E-05	0,0088595354	1,9026810234
17306189	ENSMUSG00000060373	Hnrnpc	0,1533902482	10,2950927692	4,4290359678	0,000049457	0,008988288	1,8820294419
17516960	ENSMUSG00000032076	Cadm1	0,1424195406	9,7159586308	4,4269833282	4,97986040659883E-05	0,008988288	1,875727643
17364484	ENSMUSG00000025006	Sorbs1	0,2056364782	9,4359424	4,4265047034	4,98785993068564E-05	0,008988288	1,8742583938
17464654	ENSMUSG00000019577	Pdk4	-0,3333625187	6,7117621077	-4,4219957819	5,06383773227735E-05	0,009075338	1,8604204637
17527373	ENSMUSG00000034007	Scaper	-0,1730149805	9,6786289385	-4,4078746479	5,30916011023139E-05	0,0094632894	1,8171206405
17518342	ENSMUSG00000036466	Megf11	0,2947869945	6,4460441385	4,3933513082	5,5735457767557E-05	0,0098677522	1,772648169
17535951	ENSMUSG00000031198	Fundc2	-0,2593044252	8,4526297077	-4,3921356246	5,59624940299983E-05	0,0098677522	1,7689283835
17278188	ENSMUSG00000021203	Otub2	0,3137373774	6,7016194462	4,3812615664	5,80337829067083E-05	0,0101782566	1,7356749899
17394175	ENSMUSG00000017009	Sdc4	0,2849841065	8,9336511077	4,3785462066	5,85625481987267E-05	0,0102163611	1,7273767443
17428659	ENSMUSG00000028693	Nasp	0,2214801353	7,2173061692	4,3707677526	6,01033710636052E-05	0,0104296839	1,7036176028
17473127	ENSMUSG00000068566	Myadm	0,2576521075	7,4272321385	4,3616745837	6,19547283121745E-05	0,0106943643	1,6758655539
17508188	ENSMUSG00000031551	Ido1	-0,4455246883	5,3117282923	-4,3520167152	6,39818699923985E-05	0,0109540778	1,6464171909
17287081	ENSMUSG00000021379	Id4	-0,2709420524	8,9951791077	-4,3513353653	6,41272962999794E-05	0,0109540778	1,644340707
17540396	ENSMUSG00000040138	Ndp	-0,3572496271	6,9272526	-4,3487631011	6,46792235068425E-05	0,0109911114	1,6365027293
17254801	ENSMUSG00000070345	Hsf5	-0,4253517081	5,6354235231	-4,3436291954	6,57946616997214E-05	0,0111230285	1,6208651166
17241162	ENSMUSG00000020097	Sgpl1	-0,1689214489	8,1073691846	-4,3411964292	6,63297452091732E-05	0,0111559828	1,6134578212
17200075	#N/D	#N/D	-0,9457949742	6,5712086	-4,3305714057	6,87167815902956E-05	0,0114984913	1,5811277769
17350040	ENSMUSG00000036452	Arhgap26	0,1984877443	9,8489510462	4,3261483539	6,9734938755949E-05	0,0115568213	1,5676793629
17313998	ENSMUSG00000023272	Creld2	0,220993011	8,1944808769	4,3259966464	6,97701200080102E-05	0,0115568213	1,567218198
17509721	ENSMUSG00000073838	Tufm	0,215534415	8,4777080615	4,3120396493	7,30817502092397E-05	0,0120445335	1,5248215072
17238996	ENSMUSG00000019775	Rgs17	0,2154810588	8,9972964923	4,3038210864	7,51028294988629E-05	0,0123157375	1,4998843296
17273440	ENSMUSG00000025163	Cd7	0,4701571245	5,4281517846	4,3015241681	7,56773346727538E-05	0,0123482067	1,4929186418
17447963	ENSMUSG00000029088	Kcnip4	-0,2023284533	9,7603336308	-4,2989793777	7,63188302515848E-05	0,0123912311	1,4852031628
17216478	ENSMUSG00000026315	Serpinb8	0,4023559991	7,0066182615	4,2924248085	7,79955742862203E-05	0,0126010879	1,4653398193
17450034	ENSMUSG00000029328	Hnrnpdl	-0,179413526	10,1697451385	-4,2873069255	7,93296549946666E-05	0,0126995801	1,4498396043
17435963	ENSMUSG00000013622	Atraid	-0,1955574533	8,9882373385	-4,2871168155	7,93796361645894E-05	0,0126995801	1,4492639877
17465557	ENSMUSG00000025607	Copg2	-0,1752963475	9,9569153846	-4,2844095379	8,00947295283465E-05	0,0127517808	1,4410680965
17274415	ENSMUSG00000052632	Asap2	0,2404296718	8,5894253538	4,2757951613	0,000082412	0,0130573315	1,4150046124
