	ph1$kmeans$cluster	check	gene
Slc24a4	4	Slc24a4	238384
Smarca2	4	Smarca2	67155
Stum	4	Stum	381310
Syt17	4	Syt17	110058
Tbc1d9b	4	Tbc1d9b	76795
Tef	4	Tef	21685
Tmem114	4	Tmem114	74720
Tub	4	Tub	22141
Wipf2	4	Wipf2	68524
Zfp831	4	Zfp831	100043757
