	ph1$kmeans$cluster	check	gene
Capn5	5	Capn5	12337
Cela1	5	Cela1	109901
Chia1	5	Chia1	81600
Cpne9	5	Cpne9	211232
Creg2	5	Creg2	263764
Deaf1	5	Deaf1	54006
Dennd6b	5	Dennd6b	69440
Extl1	5	Extl1	56219
Fggy	5	Fggy	75578
Flnb	5	Flnb	286940
Gm15337	5	Gm15337	100503620
Gsta4	5	Gsta4	14860
Hdac7	5	Hdac7	56233
Kcnj9	5	Kcnj9	16524
Kifc2	5	Kifc2	16581
Lmbrd2	5	Lmbrd2	320506
Mapk1	5	Mapk1	26413
Mapk3	5	Mapk3	26417
Mttp	5	Mttp	17777
Nenf	5	Nenf	66208
Nr1d1	5	Nr1d1	217166
Olfr287	5	Olfr287	634104
Otof	5	Otof	83762
Plekha6	5	Plekha6	240753
Plxnb2	5	Plxnb2	140570
Pou6f1	5	Pou6f1	19009
Rabl2	5	Rabl2	68708
Rapgefl1	5	Rapgefl1	268480
Rasgrf2	5	Rasgrf2	19418
Rpap3	5	Rpap3	71919
Rpl29	5	Rpl29	19944
Sgpp2	5	Sgpp2	433323
Slc22a4	5	Slc22a4	30805
Slc6a15	5	Slc6a15	103098
Susd2	5	Susd2	71733
Syt7	5	Syt7	54525
Sytl1	5	Sytl1	269589
Tmem106c	5	Tmem106c	380967
Tnfrsf8	5	Tnfrsf8	21941
Tuba1c	5	Tuba1c	22146
Wscd1	5	Wscd1	216881
