	ph1$kmeans$cluster	check	gene
Nfil3	5	Nfil3	18030
Nptx2	5	Nptx2	53324
Ntrk2	5	Ntrk2	18212
Pdyn	5	Pdyn	18610
Prickle1	5	Prickle1	106042
Ptgfrn	5	Ptgfrn	19221
Rasl10b	5	Rasl10b	276952
Rnd1	5	Rnd1	223881
Scg2	5	Scg2	20254
Sema3a	5	Sema3a	20346
Shank3	5	Shank3	58234
Sorcs2	5	Sorcs2	81840
Tspan11	5	Tspan11	68498
Wnk4	5	Wnk4	69847
Col6a3	6	Col6a3	12835
Ddn	6	Ddn	13199
Dnajc28	6	Dnajc28	246738
Entrez:210541	6	NA	210541
Fggy	6	Fggy	75578
Mgat4b	6	Mgat4b	103534
Nek6	6	Nek6	59126
Omp	6	Omp	18378
Prss35	6	Prss35	244954
Rgs16	6	Rgs16	19734
Sec14l3	6	Sec14l3	380683
Sertad3	6	Sertad3	170742
Slc24a4	6	Slc24a4	238384
