	ph1$kmeans$cluster	check	gene
Setbp1	4	Setbp1	240427
Sfxn1	4	Sfxn1	14057
Slc6a13	4	Slc6a13	14412
Slc7a11	4	Slc7a11	26570
Sox4	4	Sox4	20677
Sst	4	Sst	20604
Stat4	4	Stat4	20849
Taf15	4	Taf15	70439
Trp53bp1	4	Trp53bp1	27223
Zmynd19	4	Zmynd19	67187
